A-n46-k7 RA KMEANS

energy,arcs,distance,time(ms)
40911.03676564411,[[0,35,25,44,10,12,0],[0,41,20,27,40,31,29,21,0],[0,11,38,26,13,6,43,14,0],[0,19,28,17,23,45,9,0],[0,1,34,15,24,16,42,33,0],[0,18,5,37,2,30,4,0],[0,8,7,3,22,39,32,36,0]],inf,0.20299983024597168
43882.45918653338,[[0,35,25,44,10,12,0],[0,40,27,41,20,31,29,21,0],[0,11,38,13,26,43,6,14,0],[0,19,28,17,9,23,45,0],[0,34,1,16,24,42,33,15,0],[0,18,5,4,30,2,37,0],[0,8,32,22,3,39,7,36,0]],inf,0.20400023460388184
41814.304343607015,[[0,35,10,44,25,12,0],[0,40,41,20,27,31,29,21,0],[0,11,38,26,13,14,43,6,0],[0,19,28,17,45,23,9,0],[0,34,1,15,24,16,42,33,0],[0,18,37,2,30,4,5,0],[0,8,3,22,7,39,32,36,0]],inf,0.20099997520446777
40011.62128927327,[[0,25,44,10,35,12,0],[0,40,27,20,41,31,29,21,0],[0,11,38,13,26,43,6,14,0],[0,19,28,17,45,23,9,0],[0,34,1,15,24,16,42,33,0],[0,5,18,37,2,30,4,0],[0,8,39,7,22,3,32,36,0]],inf,0.2040088176727295
41754.65366206495,[[0,12,35,25,44,10,0],[0,40,27,20,41,31,29,21,0],[0,11,38,6,43,26,13,14,0],[0,19,28,17,45,23,9,0],[0,34,1,24,16,42,33,15,0],[0,18,37,2,30,4,5,0],[0,8,7,39,22,3,32,36,0]],inf,0.20099973678588867
42165.88311056227,[[0,12,35,25,44,10,0],[0,40,27,20,41,31,29,21,0],[0,11,38,14,43,6,13,26,0],[0,19,28,17,45,23,9,0],[0,34,1,16,24,42,33,15,0],[0,18,37,2,30,4,5,0],[0,8,39,7,22,3,32,36,0]],inf,0.20000028610229492
42290.44873697878,[[0,25,44,10,35,12,0],[0,41,20,27,40,31,29,21,0],[0,11,38,14,43,26,13,6,0],[0,19,28,17,45,23,9,0],[0,34,1,15,24,16,42,33,0],[0,18,37,2,30,4,5,0],[0,8,39,7,22,3,32,36,0]],inf,0.19999980926513672
41197.227982410914,[[0,35,25,44,10,12,0],[0,40,27,20,41,31,29,21,0],[0,11,38,26,13,6,43,14,0],[0,19,28,17,45,9,23,0],[0,34,1,24,16,42,33,15,0],[0,18,37,2,30,4,5,0],[0,8,3,22,7,39,32,36,0]],inf,0.20100831985473633
42799.20340262112,[[0,25,44,10,35,12,0],[0,41,20,27,40,31,29,21,0],[0,11,38,14,26,13,43,6,0],[0,19,28,17,23,45,9,0],[0,34,1,24,16,42,33,15,0],[0,18,37,2,30,4,5,0],[0,8,7,22,3,39,32,36,0]],inf,0.20400071144104004
42988.705851526815,[[0,35,25,44,10,12,0],[0,40,27,20,41,31,29,21,0],[0,11,38,14,43,6,13,26,0],[0,45,9,28,17,19,23,0],[0,34,1,24,16,42,33,15,0],[0,18,37,2,30,4,5,0],[0,8,32,7,22,3,39,36,0]],inf,0.20999979972839355
