A-n39-k6 FA KMEDOIDS

energy,arcs,distance,time(ms)
27338.304918167192,[[0,17,21,36,1,6,11,26,0],[0,25,14,31,37,38,12,3,15,0],[0,10,27,34,22,18,32,20,0],[0,23,5,9,28,29,24,0],[0,35,33,8,7,13,0],[0,16,4,19,2,30,0]],1106.5874202667878,13.51004147529602
27600.924355639996,[[0,35,25,14,31,37,3,24,0],[0,10,27,34,22,18,32,20,30,15,0],[0,17,23,21,36,1,6,11,0],[0,38,12,9,28,29,5,26,0],[0,33,2,13,0],[0,16,4,19,8,7,0]],1009.1709059510328,12.987050294876099
28002.55654733993,[[0,17,23,21,36,1,6,11,0],[0,10,27,34,22,18,32,20,30,15,0],[0,25,31,37,38,12,3,24,0],[0,16,4,33,19,8,7,0],[0,35,9,28,29,5,26,0],[0,14,2,13,0]],1096.6239477829772,12.695451736450195
27915.56047654612,[[0,7,8,4,19,33,2,30,0],[0,16,18,21,1,6,0],[0,35,25,14,31,37,38,12,3,0],[0,5,9,28,29,24,15,0],[0,34,27,32,20,13,0],[0,10,22,23,17,36,11,26,0]],1027.7189008519235,12.518453359603882
28594.966919610302,[[0,9,5,17,36,11,26,0],[0,8,4,19,33,2,24,0],[0,25,14,31,37,38,12,3,15,0],[0,35,16,10,32,20,30,0],[0,7,27,34,22,18,21,1,6,0],[0,0,23,28,29,13,0]],1190.0712475261557,12.224283933639526
27435.718348445916,[[0,10,27,34,22,18,32,20,30,15,0],[0,25,14,31,37,38,12,3,0],[0,17,21,36,1,6,11,26,0],[0,16,4,19,2,0],[0,35,33,8,7,13,0],[0,23,5,9,28,29,24,0]],1108.157943073049,12.826568603515625
27525.627277218045,[[0,17,21,36,1,6,11,26,0,0],[0,16,10,27,34,22,18,32,0],[0,35,25,14,31,37,38,12,3,0],[0,4,19,33,2,15,0],[0,23,5,9,28,29,24,0],[0,8,7,20,30,13,0]],1052.8165092430686,12.679020166397095
27699.626898536582,[[0,34,32,17,36,11,26,0,0],[0,35,25,14,31,37,3,15,0],[0,16,4,19,33,2,0],[0,10,27,22,18,21,1,6,0],[0,8,7,20,30,13,0],[0,23,5,38,12,9,28,29,24,0]],1130.671626927956,13.725288152694702
28110.467842198603,[[0,16,10,27,34,22,18,32,20,0],[0,7,8,4,19,33,2,30,0],[0,35,9,28,29,5,26,0],[0,31,37,38,12,3,24,15,0],[0,17,23,21,36,1,6,11,0],[0,25,14,13,0]],1065.255466097918,12.98918604850769
27721.737875913008,[[0,23,21,36,1,6,11,26,0,0],[0,16,4,19,33,2,0],[0,5,38,12,9,28,29,0],[0,17,7,8,30,13,0],[0,10,27,34,22,18,32,20,15,0],[0,35,25,14,31,37,3,24,0]],1040.1493481513096,12.859738111495972
