A-n64-k9 FA KMEDOIDS

energy,arcs,distance,time(ms)
53041.15496314388,[[0,12,43,28,1,17,57,15,0],[0,7,36,40,50,31,59,37,23,51,0],[0,2,58,54,5,4,0],[0,44,39,49,55,30,3,53,0],[0,22,18,38,29,25,0],[0,47,8,16,60,24,61,13,56,10,0],[0,41,52,32,9,19,20,42,6,0],[0,21,26,35,14,27,11,45,33,0],[0,46,63,34,62,48,0]],1647.8561784176543,35.73253273963928
53334.18363235006,[[0,35,1,12,22,18,38,0],[0,7,39,44,14,27,30,3,53,0],[0,8,46,54,19,20,48,0],[0,32,16,60,24,61,13,52,56,41,10,0],[0,36,40,50,49,55,37,23,51,0],[0,47,63,5,4,34,9,42,0],[0,2,58,45,29,25,6,0],[0,26,31,59,62,33,0],[0,21,28,43,17,57,11,15,0]],1830.3293092920858,34.525166034698486
53273.09441909192,[[0,8,63,54,4,19,20,0],[0,9,46,16,60,24,61,13,52,56,41,10,0],[0,40,59,31,50,49,55,37,23,42,0],[0,2,58,5,34,51,0],[0,44,26,35,14,30,3,53,15,0],[0,47,32,48,45,29,6,0],[0,28,12,22,18,38,0],[0,21,27,43,1,17,57,11,25,0],[0,7,36,39,62,33,0]],1833.728254318186,33.93530201911926
52998.49601274087,[[0,46,8,16,60,24,61,13,52,56,41,10,0],[0,7,39,14,27,57,11,15,45,0],[0,44,31,59,55,37,62,0],[0,22,18,38,29,25,0],[0,63,2,58,54,4,34,0],[0,5,23,51,19,42,0],[0,21,26,35,12,43,28,1,17,0],[0,47,32,9,20,48,33,6,0],[0,40,36,50,49,30,3,53,0]],1759.6904683442126,34.523120641708374
53347.62923407943,[[0,7,21,26,35,27,14,30,3,11,0],[0,44,39,50,31,59,55,49,53,0],[0,63,5,51,19,20,0],[0,12,43,28,1,17,57,15,0],[0,22,18,38,29,25,0],[0,8,16,60,24,61,13,52,56,41,10,0],[0,47,46,32,42,48,33,0],[0,40,36,37,23,62,45,6,0],[0,2,58,54,4,34,9,0]],1702.567625217807,35.238972425460815
52390.397364355274,[[0,46,2,58,54,4,32,0],[0,40,39,49,55,62,0],[0,35,27,30,3,53,48,33,0],[0,8,16,60,24,61,13,52,56,41,10,0],[0,44,43,28,1,17,57,11,0],[0,47,63,5,37,23,51,20,0],[0,7,21,26,14,15,45,29,6,0],[0,12,22,18,38,25,0],[0,36,50,31,59,34,19,9,42,0]],1775.027339767586,33.6238157749176
53100.46456107836,[[0,47,8,16,60,24,61,52,56,10,0],[0,12,43,28,1,17,11,25,0],[0,7,31,59,55,37,23,34,51,19,0],[0,46,5,4,9,48,33,0],[0,63,2,58,54,32,13,41,0],[0,22,18,38,29,6,0],[0,27,30,62,20,42,0],[0,36,40,39,50,49,3,53,0],[0,44,21,26,35,14,57,15,45,0]],1701.280553119482,34.404228925704956
52344.7380484565,[[0,8,16,60,24,61,13,52,56,41,10,0],[0,21,39,50,31,59,37,23,51,0,0],[0,43,35,27,14,30,3,53,15,45,0],[0,7,40,36,44,49,55,62,0],[0,2,58,5,19,20,0],[0,26,12,28,1,17,57,11,0],[0,63,54,4,34,9,42,0],[0,22,18,38,29,25,0],[0,47,46,32,48,33,6,0]],1746.6305898756557,30.415526628494263
52982.91204705801,[[0,63,58,54,4,32,13,10,0],[0,40,21,26,35,27,14,30,3,53,45,0],[0,7,44,50,31,59,62,0],[0,36,39,49,55,37,23,34,51,0],[0,46,9,11,48,33,6,0],[0,12,43,28,1,17,57,15,0],[0,2,5,19,20,42,0],[0,22,18,38,29,25,0],[0,47,8,16,60,24,61,52,56,41,0]],1777.9115817524332,34.24993324279785
53588.57488368357,[[0,46,8,16,60,24,61,13,52,56,41,10,0],[0,21,44,50,49,30,3,53,0],[0,26,35,12,43,28,1,17,0],[0,22,18,38,29,25,0],[0,32,14,27,57,11,15,45,0],[0,40,39,55,59,37,51,48,6,0],[0,47,63,54,62,0],[0,7,36,31,5,4,9,20,33,0],[0,2,58,34,23,19,42,0]],1800.11251709946,37.12891340255737
