A-n45-k6 FA KMEANS

energy,arcs,distance,time(ms)
37451.931528618625,[[0,36,42,4,16,22,15,0],[0,9,19,11,37,24,6,44,1,0],[0,23,34,27,18,43,29,26,0],[0,5,21,33,41,8,10,3,20,32,0],[0,30,40,17,13,7,28,0],[0,39,12,25,2,38,31,35,14,0]],1096.1984885712468,5.080728054046631
38687.53775663652,[[0,39,36,42,4,16,22,9,23,0],[0,31,14,35,6,44,1,0],[0,19,27,17,18,43,29,26,0],[0,21,33,41,8,10,3,20,32,7,0],[0,5,30,40,11,34,37,24,0],[0,12,13,28,15,25,2,38,0]],1140.888625945989,5.213637351989746
39192.91624428832,[[0,19,27,17,18,43,29,26,0],[0,9,5,21,33,41,8,10,3,20,32,0],[0,31,14,35,6,44,1,0],[0,12,42,16,22,15,25,38,0],[0,2,39,36,4,13,7,28,0],[0,23,30,40,11,34,37,24,0]],1084.0128494011822,5.278280019760132
37941.56685401243,[[0,5,21,33,41,8,10,3,20,32,0],[0,2,19,30,40,11,34,37,24,0],[0,12,39,36,42,22,15,25,38,0],[0,31,6,44,1,35,14,0],[0,9,27,17,18,43,29,26,0],[0,4,16,13,7,28,23,0]],1079.3756894741607,5.2200376987457275
39467.52932024488,[[0,19,5,21,10,3,20,32,7,28,0],[0,23,30,40,11,34,37,24,0],[0,9,27,17,18,43,29,26,0],[0,31,6,44,1,35,14,0],[0,33,41,8,16,4,42,22,0],[0,13,36,39,12,15,25,2,38,0]],1146.218309421774,5.4415037631988525
39141.40284833487,[[0,39,36,42,4,16,22,9,23,0],[0,21,33,41,8,10,3,20,32,7,0],[0,19,34,24,37,27,29,26,0],[0,31,6,44,1,35,14,0],[0,5,30,40,11,17,18,43,0],[0,12,38,2,25,15,13,28,0]],1148.314662579522,5.232742547988892
38847.75958309948,[[0,12,39,36,42,4,16,22,9,0],[0,19,27,17,18,43,29,26,0],[0,23,30,40,11,34,37,24,0],[0,5,21,33,41,8,10,3,20,32,0],[0,31,14,35,6,44,1,0],[0,38,2,25,15,13,7,28,0]],1008.3676448218547,5.1508119106292725
38991.12554231139,[[0,31,6,44,1,35,14,0],[0,5,21,33,41,8,10,3,20,32,0],[0,30,19,11,27,18,43,29,26,0],[0,12,16,4,42,15,25,2,38,0],[0,9,39,36,22,13,7,28,0],[0,23,17,40,34,37,24,0]],1075.5396543277504,5.5322558879852295
38229.33680906226,[[0,12,39,36,22,15,25,2,38,0],[0,21,33,41,10,3,16,4,42,23,0],[0,31,14,35,6,44,1,0],[0,19,27,17,18,43,29,26,0],[0,5,30,40,11,34,37,24,0],[0,9,8,20,13,32,7,28,0]],1131.6561489771373,5.522977352142334
38441.66678437556,[[0,31,6,44,1,35,14,0],[0,0,19,27,17,18,43,29,26,0],[0,23,30,40,11,34,37,24,0],[0,39,36,42,22,13,32,28,0],[0,9,5,21,33,41,8,10,3,20,7,0],[0,12,16,4,15,25,2,38,0]],1082.017374881389,5.3031957149505615
