CMT12 FA KMEANS

energy,arcs,distance,time(ms)
96265.04023086984,[[0,80,76,71,70,73,77,79,78,81,86,87,90,0],[0,99,100,97,93,92,94,95,96,98,0],[0,41,40,44,45,48,51,50,52,49,47,46,42,43,0],[0,31,35,37,38,39,36,34,33,32,0],[0,59,60,58,56,53,54,55,57,0],[0,69,66,68,64,61,72,74,62,63,65,67,0],[0,10,11,9,6,8,7,75,0],[0,82,83,84,85,88,89,91,1,2,4,3,5,0],[0,12,14,16,15,19,18,17,13,0],[0,23,24,27,29,30,28,26,25,22,21,20,0]],862.0631901564183,78.3448121547699
94940.14159123808,[[0,47,49,52,50,51,48,45,46,44,40,41,42,43,0],[0,12,14,16,15,19,18,17,13,0],[0,23,26,28,30,29,27,24,25,22,21,20,0],[0,91,82,83,84,85,88,89,90,0],[0,31,35,37,38,39,36,34,33,32,0],[0,96,95,94,92,93,97,100,99,98,0],[0,59,60,58,56,53,54,55,57,0],[0,69,66,68,64,61,72,74,62,63,65,67,0],[0,80,79,77,73,70,71,76,78,81,86,87,0],[0,10,11,9,6,8,7,5,3,4,2,1,75,0]],842.4261841668836,80.48074650764465
94228.45334543828,[[0,23,24,27,29,30,28,26,25,22,21,20,0],[0,69,66,68,64,61,72,74,62,63,65,67,0],[0,17,18,19,12,14,16,15,13,10,0],[0,80,79,77,73,70,71,76,78,81,86,87,90,0],[0,59,60,58,56,53,54,55,57,0],[0,99,100,97,93,92,94,95,96,98,0],[0,31,35,37,38,39,36,34,33,32,0],[0,47,49,52,50,51,48,45,46,44,40,41,42,43,0],[0,82,83,84,85,88,89,91,0],[0,5,3,7,8,11,9,6,4,2,1,75,0]],842.5614107691817,72.94643330574036
95345.72065089253,[[0,10,11,9,3,5,75,1,2,4,6,8,7,0],[0,99,100,97,93,92,94,95,96,98,0],[0,12,14,16,15,19,18,17,13,0],[0,59,60,58,56,53,54,55,57,0],[0,80,79,77,73,70,71,76,78,81,82,83,0],[0,69,66,68,64,61,72,74,62,63,65,67,0],[0,40,41,47,49,52,50,51,48,45,46,44,42,43,0],[0,34,36,39,38,37,35,31,33,32,0],[0,91,89,88,85,84,86,87,90,0],[0,23,24,27,29,30,28,26,25,22,21,20,0]],844.4070543543886,83.58657789230347
94924.33295339202,[[0,72,61,64,68,69,66,62,74,63,65,67,0],[0,96,95,94,92,93,97,100,99,98,0],[0,80,79,77,73,70,71,76,78,81,86,87,90,0],[0,47,49,52,50,51,48,45,46,44,40,41,42,43,0],[0,23,24,27,29,30,28,26,25,22,21,20,0],[0,82,83,84,85,88,89,91,0],[0,59,60,58,56,53,54,55,57,0],[0,17,18,19,12,14,16,15,13,0],[0,31,35,37,38,39,36,34,33,32,0],[0,10,11,9,6,8,7,5,3,4,2,1,75,0]],853.9453102872244,76.90374088287354
95815.70014399296,[[0,69,66,68,64,61,72,74,62,63,65,67,0],[0,49,52,50,51,48,45,44,40,41,42,46,47,43,0],[0,80,73,70,71,76,78,77,79,81,86,87,90,0],[0,17,18,19,12,14,16,15,13,0],[0,31,35,37,38,39,36,34,33,32,0],[0,10,11,9,8,6,2,4,7,3,5,75,0],[0,98,96,95,94,92,93,97,100,99,1,0],[0,59,60,58,56,53,54,55,57,0],[0,82,83,84,85,88,89,91,0],[0,23,24,27,29,30,28,26,25,22,21,20,0]],854.8403298542024,81.02285242080688
95144.18613118964,[[0,17,18,19,12,14,16,15,13,0],[0,69,66,68,64,61,72,74,62,63,65,67,0],[0,31,35,37,38,39,36,34,33,32,0],[0,59,60,58,56,53,54,55,57,0],[0,10,11,9,3,5,75,1,2,4,6,8,7,0],[0,96,95,94,92,93,97,100,99,98,0],[0,80,79,77,73,70,71,76,78,81,86,87,90,0],[0,41,40,44,45,48,51,50,52,49,47,46,42,43,0],[0,23,24,27,29,30,28,26,25,22,21,20,0],[0,82,83,84,85,88,89,91,0]],853.8919467779563,72.7459065914154
95433.72262828654,[[0,31,35,37,38,39,36,34,33,32,0],[0,72,61,64,68,69,66,62,74,63,65,67,0],[0,80,79,77,73,70,71,76,78,81,86,87,90,0],[0,59,60,58,56,53,54,55,57,0],[0,49,52,50,51,48,45,44,40,41,42,46,47,43,0],[0,17,18,19,12,14,16,15,13,0],[0,10,11,9,8,6,4,7,3,5,0],[0,99,100,97,93,92,94,95,96,98,0],[0,82,83,84,85,88,89,91,2,1,75,0],[0,23,24,27,29,30,28,26,25,22,21,20,0]],860.2964226173826,74.87385845184326
94470.0322287762,[[0,59,60,58,56,53,54,55,57,0],[0,69,66,68,64,61,72,74,62,63,65,67,0],[0,31,35,34,36,39,38,37,33,32,0],[0,99,100,97,93,92,94,95,96,98,0],[0,17,18,19,12,14,16,15,13,0],[0,49,52,50,51,48,45,44,40,41,42,46,47,43,0],[0,10,11,9,3,5,75,1,2,4,6,8,7,0],[0,80,79,77,73,70,71,76,78,81,86,87,90,0],[0,82,83,84,85,88,89,91,0],[0,23,26,28,30,29,27,24,25,22,21,20,0]],853.2379003373517,74.36482763290405
93933.72263876468,[[0,47,49,52,50,51,48,45,46,44,40,41,42,43,0],[0,80,79,77,73,70,71,76,78,81,86,87,90,0],[0,31,35,37,38,39,36,34,33,32,0],[0,99,100,97,93,92,94,95,96,98,0],[0,59,60,58,56,53,54,55,57,0],[0,10,11,9,6,8,7,5,3,4,2,1,75,0],[0,69,66,68,64,61,72,74,62,63,65,67,0],[0,12,14,16,15,19,18,17,13,0],[0,82,83,84,85,88,89,91,0],[0,23,26,28,30,29,27,24,25,22,21,20,0]],837.8776677658959,75.53463649749756
