CMT12 FA KMEDOIDS

energy,arcs,distance,time(ms)
94953.18028083429,[[0,59,60,58,56,53,54,55,57,0],[0,10,11,9,2,1,75,5,3,4,6,8,7,0],[0,17,18,19,12,14,16,15,13,0],[0,99,100,97,93,92,94,95,96,98,0],[0,31,35,37,38,39,36,34,33,32,0],[0,72,61,64,68,69,66,62,74,63,65,67,0],[0,80,79,77,73,70,71,76,78,81,82,83,87,0],[0,91,86,84,85,88,89,90,0],[0,49,52,50,51,48,45,44,40,41,42,46,47,43,0],[0,23,24,27,29,30,28,26,25,22,21,20,0]],853.4412094112621,79.40360236167908
95937.6781392128,[[0,69,66,68,64,61,72,74,62,63,65,67,0],[0,99,100,97,93,92,94,95,96,98,0],[0,59,60,58,56,53,54,55,57,0],[0,47,49,52,50,51,48,45,46,44,40,41,42,43,0],[0,17,18,19,12,14,16,15,13,0],[0,80,79,77,73,70,71,76,78,81,86,87,0],[0,31,35,34,36,39,38,37,33,32,0],[0,90,82,83,84,85,88,89,91,75,3,5,0],[0,23,24,27,29,30,28,26,25,22,21,20,0],[0,10,11,9,2,1,4,6,8,7,0]],861.3387481420784,80.11021065711975
94790.48015928862,[[0,34,36,39,38,37,35,31,33,32,0],[0,69,66,68,64,61,72,74,62,63,65,67,0],[0,80,79,77,73,70,71,76,78,81,0],[0,75,1,2,4,6,9,8,7,3,5,0],[0,59,60,58,56,53,54,55,57,0],[0,47,49,52,50,51,48,45,46,44,40,41,42,43,0],[0,99,100,97,93,92,94,95,96,98,0],[0,17,18,19,12,14,16,15,13,0],[0,11,10,23,24,27,29,30,28,26,25,22,21,20,0],[0,91,89,82,83,84,85,88,86,87,90,0]],857.5184649367269,77.76864647865295
93875.06271606882,[[0,69,66,68,64,61,72,74,62,63,65,67,0],[0,41,40,44,45,48,51,50,52,49,47,46,42,43,0],[0,99,100,97,93,92,94,95,96,98,0],[0,10,11,9,6,8,7,5,3,4,2,1,75,0],[0,80,79,77,73,70,71,76,78,81,0],[0,59,60,58,56,53,54,55,57,0],[0,31,35,37,38,39,36,34,33,32,0],[0,91,87,86,83,82,84,85,88,89,90,0],[0,17,18,19,12,14,16,15,13,0],[0,23,26,28,30,29,27,24,25,22,21,20,0]],837.9174719699394,81.95041155815125
94155.54216250985,[[0,12,14,16,15,19,18,17,13,0],[0,82,83,84,85,88,89,91,0],[0,31,35,37,38,39,36,34,33,32,0],[0,47,49,52,50,51,48,45,46,44,40,41,42,43,0],[0,23,24,27,29,30,28,26,25,22,21,20,0],[0,99,100,97,93,92,94,95,96,98,0],[0,80,79,77,73,70,71,76,78,81,86,87,90,0],[0,59,60,58,56,53,54,55,57,0],[0,69,66,68,64,61,72,74,62,63,65,67,0],[0,10,11,9,75,1,2,4,6,8,7,3,5,0]],847.3962345998638,78.24495577812195
93888.72097119885,[[0,91,87,86,83,82,84,85,88,89,90,0],[0,41,40,44,45,48,51,50,52,49,47,46,42,43,0],[0,80,79,77,73,70,71,76,78,81,0],[0,17,18,19,12,14,16,15,13,0],[0,31,35,37,38,39,36,34,33,32,0],[0,59,60,58,56,53,54,55,57,0],[0,99,100,97,93,92,94,95,96,98,0],[0,23,26,28,30,29,27,24,25,22,21,20,0],[0,10,11,9,8,6,4,2,1,75,5,3,7,0],[0,69,66,68,64,61,72,74,62,63,65,67,0]],838.0415885668515,79.57806825637817
95134.90952863148,[[0,69,66,68,64,61,72,74,62,63,65,67,0],[0,59,60,58,56,53,54,55,57,0],[0,52,49,47,41,40,44,45,48,51,50,46,42,43,0],[0,10,11,9,75,1,2,4,6,8,7,3,5,0],[0,17,18,19,12,14,16,15,13,0],[0,31,35,37,38,39,36,34,33,32,0],[0,99,100,97,93,92,94,95,96,98,0],[0,80,79,77,73,70,71,76,78,81,82,83,87,0],[0,91,86,84,85,88,89,90,0],[0,23,24,27,29,30,28,26,25,22,21,20,0]],853.9662171915431,78.65679883956909
96106.01208072893,[[0,31,35,34,36,39,38,37,33,32,0],[0,69,66,68,64,61,72,74,62,63,65,67,0],[0,52,50,51,48,49,47,41,40,44,45,46,42,43,0],[0,12,14,16,15,19,18,17,13,0],[0,99,100,97,93,92,94,95,96,98,0],[0,59,60,58,56,53,54,55,57,0],[0,80,79,77,73,70,71,76,78,81,86,87,90,0],[0,82,83,84,85,88,89,91,2,1,75,0],[0,30,29,27,24,25,28,26,23,22,21,20,0],[0,10,11,9,8,6,4,7,3,5,0]],867.8542769116689,79.94879984855652
95363.27317076674,[[0,31,35,34,36,39,38,37,33,32,0],[0,69,66,68,64,61,72,74,62,63,65,67,0],[0,99,100,97,93,92,94,95,96,98,0],[0,80,79,77,73,70,71,76,78,81,82,83,0],[0,49,52,50,51,48,45,44,40,41,42,46,47,43,0],[0,75,1,2,4,6,9,11,10,8,7,3,5,0],[0,17,18,19,12,14,16,15,13,0],[0,59,60,58,56,53,54,55,57,0],[0,91,89,88,85,84,86,87,90,0],[0,23,26,28,30,29,27,24,25,22,21,20,0]],841.5695074736886,82.3512773513794
94429.93167097024,[[0,17,18,19,12,14,16,15,13,0],[0,10,11,9,8,6,4,2,1,75,5,3,7,0],[0,59,60,58,56,53,54,55,57,0],[0,99,100,97,93,92,94,95,96,98,0],[0,91,89,88,85,84,82,83,86,87,90,0],[0,31,35,37,38,39,36,34,33,32,0],[0,48,51,50,52,49,47,46,45,44,40,41,42,43,0],[0,80,79,77,73,70,71,76,78,81,0],[0,23,24,27,29,30,28,26,25,22,21,20,0],[0,69,66,68,64,61,72,74,62,63,65,67,0]],842.8066491252878,79.02645826339722
