A-n34-k5 FA KMEDOIDS

energy,arcs,distance,time(ms)
28672.278757747947,[[0,33,3,12,9,22,16,2,18,0],[0,23,8,15,6,7,14,0],[0,11,29,1,27,24,30,5,0],[0,19,17,31,28,25,13,10,0],[0,32,21,20,4,26,0]],855.5958955069723,8.703815460205078
29333.248942863902,[[0,33,21,18,20,4,26,0],[0,27,1,8,15,6,7,14,0],[0,11,19,17,31,28,25,13,10,0],[0,0,29,23,24,30,5,0],[0,32,3,12,9,22,16,2,0]],836.553409977427,8.198292970657349
28672.278757747947,[[0,32,21,20,4,26,0],[0,19,17,31,28,25,13,10,0],[0,33,3,12,9,22,16,2,18,0],[0,23,8,15,6,7,14,0],[0,11,29,1,27,24,30,5,0]],855.5958955069724,8.246900081634521
28725.119990273924,[[0,11,23,8,15,6,14,0],[0,33,3,12,9,22,16,2,18,0],[0,19,17,31,28,25,13,10,0],[0,7,29,1,27,24,30,5,0],[0,32,21,20,4,26,0]],833.1388580852035,8.242197513580322
28672.278757747947,[[0,33,3,12,9,22,16,2,18,0],[0,19,17,31,28,25,13,10,0],[0,11,29,1,27,24,30,5,0],[0,23,8,15,6,7,14,0],[0,0,32,21,20,4,26,0]],855.5958955069723,7.727008819580078
28621.20637866018,[[0,0,32,21,20,4,26,0],[0,33,3,12,9,22,16,2,18,0],[0,31,19,17,25,28,13,10,0],[0,23,8,15,6,7,14,0],[0,11,29,1,27,24,30,5,0]],863.4625147513503,8.08368706703186
28824.1660505903,[[0,27,1,8,15,6,7,14,0],[0,33,3,12,9,22,16,2,18,0],[0,29,23,24,30,5,0],[0,11,19,17,31,28,25,13,10,0],[0,32,21,20,4,26,0]],824.9044597539146,8.197998523712158
29477.00569226792,[[0,33,10,3,12,9,22,16,2,18,0],[0,27,1,8,15,6,7,14,0],[0,11,19,17,31,28,25,13,0],[0,29,23,24,30,5,0],[0,32,21,20,4,26,0]],888.5778506159277,8.049402236938477
29181.361650021547,[[0,0,33,21,18,20,4,26,0],[0,19,17,31,28,25,13,10,0],[0,23,8,15,6,7,14,0],[0,32,3,12,9,22,16,2,0],[0,11,29,1,27,24,30,5,0]],867.2448457304848,8.06750750541687
28761.06876272397,[[0,19,17,31,28,25,13,10,0],[0,33,3,12,9,22,16,2,18,0],[0,32,21,20,4,26,0],[0,15,29,1,27,24,30,5,0],[0,11,23,8,6,7,14,0]],839.0074659045841,8.282161951065063
