CMT6 FA KMEDOIDS

energy,arcs,distance,time(ms)
49832.89093988808,[[0,1,8,26,31,28,3,36,35,20,2,0],[0,22,29,21,9,49,30,34,50,16,38,5,0],[0,40,19,41,13,25,18,47,0],[0,4,17,42,10,39,33,45,15,44,37,12,46,0],[0,6,14,24,43,7,23,48,27,32,11,0]],600.4313967413817,16.147007942199707
50629.38886462807,[[0,32,30,10,39,33,45,15,44,37,17,47,0],[0,6,14,24,43,7,23,48,27,46,12,0],[0,1,3,36,35,20,29,21,34,50,38,11,0],[0,28,31,26,8,22,2,16,9,49,5,0],[0,4,42,40,19,41,13,25,18,0]],583.1736065085663,16.38084888458252
50624.17730691633,[[0,22,29,21,34,30,9,50,16,38,11,32,0],[0,37,44,15,45,33,39,10,49,5,12,46,0],[0,25,14,24,43,7,26,8,48,27,0],[0,4,17,42,40,19,41,13,18,47,0],[0,1,2,20,35,36,3,28,31,23,6,0]],565.387861237798,16.50217914581299
50718.276513599856,[[0,4,17,42,40,19,41,13,25,18,0],[0,37,44,15,45,33,39,49,5,38,11,46,0],[0,6,23,7,43,24,14,47,12,0],[0,10,30,34,21,29,20,35,36,3,22,1,32,0],[0,9,50,16,2,28,31,26,8,48,27,0]],567.1882424357036,15.559583902359009
48862.81146462789,[[0,1,29,21,34,30,10,49,5,12,46,0],[0,42,40,19,41,13,25,14,6,27,0],[0,22,3,36,35,20,2,16,50,9,38,0],[0,39,33,45,15,44,37,17,4,18,47,0],[0,24,43,23,7,26,31,28,8,48,32,11,0]],592.5758303846549,16.529348373413086
51309.320549417185,[[0,9,30,10,39,33,45,15,44,37,5,46,0],[0,4,17,42,40,19,41,13,25,18,0],[0,49,38,11,48,6,14,47,12,0],[0,36,35,20,29,21,34,50,16,2,32,0],[0,24,43,23,7,26,8,31,28,3,22,1,27,0]],605.5791014871814,14.908682584762573
50980.31826973248,[[0,1,31,26,8,22,2,34,30,9,38,0],[0,28,3,36,35,20,29,21,50,16,11,32,46,0],[0,15,45,33,39,10,49,5,12,47,0],[0,40,13,41,19,42,44,37,17,4,18,0],[0,6,14,25,24,43,7,23,48,27,0]],590.6222401205291,16.29796552658081
49260.24729552505,[[0,4,42,40,19,41,13,18,47,0],[0,22,2,29,21,34,50,16,9,49,38,46,0],[0,36,35,20,3,28,31,8,1,32,11,0],[0,26,43,7,23,24,25,14,6,48,27,0],[0,17,37,44,15,45,33,39,30,10,5,12,0]],589.9811780835137,15.533220767974854
51117.3487515205,[[0,1,29,36,35,20,3,28,31,22,2,32,46,0],[0,0,4,10,30,21,9,49,38,5,12,47,0],[0,40,19,41,13,25,14,18,0],[0,17,42,44,15,45,33,39,34,50,16,11,0],[0,37,6,24,43,23,7,26,8,48,27,0]],647.4124654962459,16.52662205696106
50222.92991223611,[[0,42,40,19,41,13,25,14,6,27,0],[0,10,30,39,33,45,15,44,37,17,4,18,0],[0,16,21,34,50,9,49,5,38,11,32,0],[0,26,8,48,23,7,43,24,47,12,0],[0,1,22,31,28,3,36,35,20,29,2,46,0]],584.1712146138415,16.35836362838745
