A-n39-k5 FA KMEANS

energy,arcs,distance,time(ms)
30502.157905461136,[[0,37,34,27,36,28,6,0],[0,21,19,25,33,12,9,18,4,0],[0,30,3,22,2,32,10,15,38,0],[0,35,24,26,17,11,8,14,0],[0,13,7,16,5,29,20,23,1,31,0]],1072.5026877917358,5.317999839782715
31539.274323929563,[[0,3,22,7,16,5,15,38,0],[0,21,25,33,1,29,20,23,31,12,9,0],[0,30,13,28,27,36,6,11,0],[0,19,24,26,17,8,4,14,0],[0,34,37,35,2,32,10,18,0]],977.9296708730257,4.961001396179199
31801.463193903066,[[0,19,25,23,1,31,12,18,4,0],[0,21,30,13,28,36,6,8,14,0],[0,26,2,10,16,5,29,20,33,0],[0,27,34,35,24,17,11,0],[0,37,3,22,7,32,15,38,9,0]],974.6062732817659,5.365999460220337
31308.72861650869,[[0,19,25,16,32,10,1,31,12,18,0],[0,30,28,27,36,6,11,8,0],[0,13,24,35,2,15,38,0],[0,37,34,26,17,9,4,14,0],[0,21,3,22,7,5,29,20,23,33,0]],1034.5119386925269,4.674999237060547
31427.874867594674,[[0,37,35,2,32,10,15,1,0],[0,3,22,7,16,5,29,20,23,0],[0,30,21,19,33,31,38,12,9,18,4,0],[0,13,27,34,24,26,17,11,8,0],[0,25,28,36,6,14,0]],1041.664312355647,5.319999933242798
31167.818896482248,[[0,21,25,33,23,20,1,31,12,9,18,0],[0,24,26,17,11,8,4,14,0],[0,3,22,7,16,5,29,15,0],[0,19,30,13,28,27,36,6,0],[0,34,37,35,2,32,10,38,0]],958.9994660094541,4.954999923706055
30551.24430868394,[[0,31,21,30,13,28,27,36,6,0],[0,1,3,22,7,16,5,29,20,23,0],[0,35,2,32,10,15,38,0],[0,19,25,33,12,18,4,14,0],[0,37,34,24,26,17,11,8,9,0]],962.8399315397553,5.263001203536987
30925.050107114035,[[0,3,7,16,5,29,20,23,1,31,0],[0,17,2,35,24,26,11,8,0],[0,19,25,33,12,18,4,14,0],[0,37,34,22,32,10,15,38,9,0],[0,21,30,13,28,27,36,6,0]],935.6951096278874,5.077003479003906
31082.877942038787,[[0,19,25,33,12,18,4,14,0],[0,21,30,13,28,27,36,6,0],[0,3,22,7,16,5,29,20,23,0],[0,26,31,1,32,10,15,38,9,0],[0,37,34,2,35,24,17,11,8,0]],951.2592694682128,5.418999671936035
31230.078521457177,[[0,3,22,7,16,5,29,20,23,0],[0,13,2,35,24,26,11,8,0],[0,37,34,27,36,28,6,0],[0,19,25,33,12,18,4,14,0],[0,30,21,17,31,1,32,10,15,38,9,0]],1033.38349785721,4.800999402999878
