A-n62-k8 FA KMEANS

energy,arcs,distance,time(ms)
49827.3744679672,[[0,50,17,58,33,26,55,59,0],[0,35,49,11,9,1,30,18,13,0],[0,4,21,41,23,27,39,3,42,0],[0,54,31,60,5,14,12,48,56,20,15,28,0],[0,25,34,57,32,6,40,7,0],[0,24,47,45,46,19,38,0],[0,22,2,44,37,16,36,52,0],[0,53,8,43,29,61,10,51,0]],1520.2383087419178,14.538596868515015
49176.709110569165,[[0,41,27,3,54,9,1,30,18,13,12,53,0],[0,50,17,58,33,26,55,59,28,0],[0,22,44,37,16,36,52,0],[0,11,42,46,19,38,48,0],[0,31,34,57,32,6,40,61,20,0],[0,21,39,24,47,45,2,0],[0,23,4,35,49,25,60,5,14,56,0],[0,8,43,29,10,51,7,15,0]],1553.4319130114955,17.49238872528076
50231.55939137808,[[0,31,34,17,58,33,26,55,59,0],[0,52,8,43,29,61,10,51,7,0],[0,21,23,47,45,2,19,38,0],[0,54,27,39,24,46,30,13,28,0],[0,4,35,49,11,9,1,18,12,53,0],[0,41,3,42,60,5,14,56,48,0],[0,25,44,22,37,16,36,15,0],[0,50,57,32,6,40,20,0]],1686.7162657669016,15.941659927368164
49314.36891091441,[[0,22,44,37,16,36,52,15,0],[0,21,27,39,24,3,42,38,0],[0,60,57,32,6,40,20,7,28,0],[0,50,17,58,33,26,55,59,0],[0,4,35,49,11,25,5,14,56,12,53,0],[0,31,34,8,43,29,61,10,51,0],[0,41,23,9,1,30,18,13,48,0],[0,54,47,45,46,2,19,0]],1594.548937815391,15.759111881256104
48915.2588190354,[[0,27,44,22,37,16,36,0],[0,41,39,24,47,45,2,52,0],[0,21,23,3,42,46,30,18,13,12,53,0],[0,50,17,58,33,26,55,59,0],[0,4,35,49,25,60,5,14,56,28,0],[0,61,57,32,6,40,20,0],[0,8,43,29,10,51,7,15,0],[0,34,31,11,9,54,1,19,38,48,0]],1562.93188747023,15.422154664993286
48994.31684934696,[[0,4,35,49,25,5,14,48,0],[0,50,17,58,33,26,55,59,0],[0,31,34,57,32,6,40,20,15,0],[0,22,2,44,37,16,36,52,0],[0,41,23,27,24,3,42,13,12,53,0],[0,21,54,39,47,45,46,19,38,28,0],[0,8,43,29,61,10,51,7,0],[0,60,11,9,1,30,18,56,0]],1531.3821526404045,16.17303204536438
49404.43863485652,[[0,22,44,37,16,36,52,15,0],[0,21,41,23,27,39,42,45,2,0],[0,17,58,33,26,55,59,0],[0,14,60,3,1,30,18,13,12,48,53,0],[0,8,43,29,61,10,51,7,0],[0,34,31,54,24,47,46,19,38,0],[0,50,57,32,6,40,20,28,0],[0,9,4,35,49,11,25,5,56,0]],1513.6043656884644,15.49845027923584
49018.53124102204,[[0,21,23,27,39,3,30,18,48,0],[0,9,54,24,42,1,13,12,53,0],[0,22,2,44,37,16,36,52,0],[0,50,17,58,33,26,55,59,7,0],[0,4,35,49,11,25,5,14,56,0],[0,41,47,45,46,19,38,28,0],[0,31,8,43,29,61,10,51,0],[0,60,34,57,32,6,40,20,15,0]],1604.8029116051964,15.13724684715271
50537.09599585713,[[0,0,8,43,29,61,10,51,7,28,0],[0,39,27,23,41,21,4,11,25,5,0],[0,54,2,44,22,37,16,36,52,0],[0,24,47,45,46,30,18,13,0],[0,50,17,58,33,26,55,59,0],[0,31,34,57,32,6,40,20,15,0],[0,9,3,42,1,19,38,0],[0,35,49,60,14,56,48,12,53,0]],1518.8988573891415,15.4782133102417
49057.49249551266,[[0,41,21,4,49,11,9,1,12,53,0],[0,23,27,39,3,42,30,18,13,0],[0,8,43,29,61,10,51,0],[0,24,47,45,46,19,38,0],[0,54,2,44,22,37,16,36,52,0],[0,0,50,17,58,33,26,55,59,0],[0,34,35,5,14,56,48,15,28,0],[0,60,25,31,57,32,6,40,20,7,0]],1549.5585750622674,15.977266788482666
