A-n62-k8 FA KMEDOIDS

energy,arcs,distance,time(ms)
49060.73913123855,[[0,21,4,35,49,25,5,14,56,0],[0,60,11,9,1,30,18,13,12,48,53,0],[0,50,17,58,33,26,55,59,28,0],[0,2,44,37,16,36,52,0],[0,8,43,29,10,51,7,15,0],[0,22,54,24,47,45,46,19,0],[0,31,34,57,32,6,40,61,20,0],[0,41,23,27,39,3,42,38,0]],1491.057352679619,31.234455823898315
48893.68461061607,[[0,8,43,29,10,51,7,15,28,0],[0,21,41,39,24,47,45,2,52,0],[0,23,27,3,42,1,13,53,0],[0,17,58,33,26,55,59,0],[0,9,54,46,30,19,38,12,48,0],[0,4,35,49,11,25,60,5,14,56,0],[0,50,57,32,6,40,61,20,0],[0,34,31,18,44,22,37,16,36,0]],1570.4794736977246,33.26921057701111
48920.676933200586,[[0,21,54,46,30,18,19,38,12,48,28,0],[0,4,35,49,11,25,60,5,14,56,0],[0,31,34,57,32,6,40,61,20,0],[0,0,9,44,22,37,16,36,0],[0,23,24,47,45,2,52,0],[0,8,43,29,10,51,7,15,0],[0,50,17,58,33,26,55,59,0],[0,41,27,39,3,42,1,13,53,0]],1588.6344849776913,30.909163236618042
49608.0453443607,[[0,13,54,9,1,30,18,19,38,12,53,28,0],[0,27,39,47,45,46,2,0],[0,50,17,58,33,26,55,59,0],[0,23,44,22,37,16,36,52,0],[0,21,4,35,49,11,25,60,56,20,0],[0,41,24,3,42,5,14,48,0],[0,8,43,29,61,10,51,0],[0,31,34,57,32,6,40,7,15,0]],1600.598893977447,34.92999291419983
48613.24753786467,[[0,34,33,26,55,59,40,20,0],[0,0,18,45,44,22,37,16,36,52,0],[0,41,23,3,42,46,19,38,0],[0,17,58,50,57,32,6,61,7,0],[0,27,39,24,47,2,0],[0,21,4,35,49,25,60,5,14,56,0],[0,31,11,9,54,1,30,12,48,53,0],[0,13,8,43,29,10,51,28,15,0]],1616.8261465604967,34.21084976196289
49449.71963215033,[[0,3,42,54,9,1,19,38,0],[0,50,57,32,6,40,7,0],[0,23,27,39,24,47,45,28,0],[0,17,58,33,26,55,59,20,0],[0,31,21,4,35,49,11,25,60,5,14,48,0],[0,41,46,30,18,56,12,53,15,0],[0,34,2,44,22,37,16,36,52,0],[0,13,8,43,29,61,10,51,0]],1647.744716165797,33.5417160987854
49143.86792723933,[[0,34,57,32,6,40,20,7,15,28,0,0],[0,41,23,27,39,3,42,38,0],[0,50,17,58,33,26,55,59,0],[0,21,4,49,11,9,1,30,18,0],[0,35,25,31,60,5,14,56,48,12,53,0],[0,13,2,44,22,37,16,36,52,0],[0,8,43,29,61,10,51,0],[0,54,24,47,45,46,19,0]],1488.4199910154985,29.810080766677856
49032.32978284721,[[0,22,44,37,16,36,52,15,0],[0,21,23,27,3,42,46,30,13,0],[0,17,58,33,26,55,59,28,0],[0,34,31,60,9,1,18,19,38,12,48,53,0],[0,41,4,35,49,11,25,5,56,20,0],[0,14,8,43,29,61,10,51,7,0],[0,54,39,24,47,45,2,0],[0,50,57,32,6,40,0]],1576.208889273002,32.465961933135986
49178.90786671806,[[0,34,31,2,44,22,37,16,36,52,0],[0,35,11,9,1,18,13,12,0],[0,41,21,4,49,25,60,5,14,56,48,53,0],[0,8,43,29,10,51,15,0],[0,23,27,39,24,47,45,0],[0,17,33,26,55,59,40,20,0],[0,54,3,42,46,30,19,38,0],[0,58,50,57,32,6,61,7,28,0]],1574.1769618755347,33.115928649902344
48606.070143529534,[[0,35,11,9,1,30,19,38,0],[0,34,31,60,13,44,22,37,16,36,52,0],[0,50,58,33,26,55,59,0],[0,41,21,4,49,25,5,14,56,48,53,28,0],[0,54,23,24,47,45,2,0],[0,17,57,32,6,40,20,15,0],[0,8,43,29,61,10,51,7,0],[0,27,39,3,42,46,18,12,0]],1605.5938971802154,34.77882409095764
