CMT14 FA KMEANS

energy,arcs,distance,time(ms)
95408.14467253703,[[0,12,14,16,15,19,18,17,13,0],[0,34,36,39,38,37,35,31,33,32,0],[0,59,60,58,56,53,54,55,57,0],[0,99,100,97,93,92,94,95,96,98,1,0],[0,80,79,77,73,70,71,76,78,81,65,67,0],[0,47,49,52,50,51,48,45,46,44,40,41,42,43,0],[0,91,87,86,83,82,84,85,88,89,90,0],[0,23,10,11,9,3,5,75,2,4,6,8,7,0],[0,20,24,27,29,30,28,26,25,22,21,0],[0,72,61,64,68,69,66,62,74,63,0]],855.7919457722915,77.70249438285828
94767.74330662604,[[0,23,24,27,29,30,28,26,25,22,21,20,0],[0,80,79,77,73,70,71,76,78,81,82,83,87,0],[0,31,35,37,38,39,36,34,33,32,0],[0,59,60,58,56,53,54,55,57,0],[0,12,14,16,15,19,18,17,13,0],[0,72,61,64,68,69,66,62,74,63,65,67,0],[0,99,100,97,93,92,94,95,96,98,0],[0,0,48,51,50,52,49,47,46,45,44,40,41,42,43,0],[0,91,86,84,85,88,89,90,0],[0,10,11,9,8,6,4,2,1,75,5,3,7,0]],849.5444776530553,75.44363451004028
94916.44803643532,[[0,99,100,97,93,92,94,95,96,98,0],[0,23,24,27,29,30,28,26,25,22,21,20,0],[0,80,79,77,73,70,71,76,78,81,0],[0,91,89,88,85,84,82,83,86,87,90,0],[0,48,51,50,52,49,47,46,45,44,40,41,42,43,0],[0,17,18,19,12,14,16,15,13,0],[0,34,36,39,38,37,35,31,33,32,0],[0,75,1,2,4,6,9,11,10,8,7,3,5,0],[0,59,60,58,56,53,54,55,57,0],[0,69,66,68,64,61,72,74,62,63,65,67,0]],841.6541217885622,81.85386729240417
94263.35162576922,[[0,80,79,77,73,70,71,76,78,81,86,87,90,0],[0,17,18,19,12,14,16,15,13,0],[0,69,66,68,64,61,72,74,62,63,65,67,0],[0,99,100,97,93,92,94,95,96,98,0],[0,10,11,9,3,5,75,1,2,4,6,8,7,0],[0,47,49,52,50,51,48,45,46,44,40,41,42,43,0],[0,59,60,58,56,53,54,55,57,0],[0,82,83,84,85,88,89,91,0],[0,31,35,37,38,39,36,34,33,32,0],[0,23,24,27,29,30,28,26,25,22,21,20,0]],849.1063084078991,77.58867192268372
94655.1712115849,[[0,12,14,16,15,19,18,17,13,10,0],[0,99,100,97,93,92,94,95,96,98,0],[0,91,82,83,87,86,84,85,88,89,90,0],[0,80,79,77,73,70,71,76,78,81,0],[0,31,35,34,36,39,38,37,33,32,0],[0,41,40,44,45,48,51,50,52,49,47,46,42,43,0],[0,59,60,58,56,53,54,55,57,0],[0,11,9,3,5,75,1,2,4,6,8,7,0],[0,23,24,27,29,30,28,26,25,22,21,20,0],[0,69,66,68,64,61,72,74,62,63,65,67,0]],859.7406816718561,81.62881994247437
94583.20384097494,[[0,10,11,9,3,5,75,1,2,4,6,8,7,0,0],[0,99,100,97,93,92,94,95,96,98,0],[0,59,60,58,56,53,54,55,57,0],[0,49,52,50,51,48,45,44,40,41,42,46,47,43,0],[0,12,14,16,15,19,18,17,13,0],[0,72,61,64,68,69,66,62,74,63,65,67,0],[0,80,79,77,73,70,71,76,78,81,87,90,0],[0,31,35,37,38,39,36,34,33,32,0],[0,86,82,83,84,85,88,89,91,0],[0,23,24,27,29,30,28,26,25,22,21,20,0]],854.9784348423608,80.14087176322937
94119.41518995698,[[0,99,100,97,93,92,94,95,96,98,0],[0,10,11,9,8,6,4,2,1,75,5,3,7,0],[0,17,18,19,12,14,16,15,13,0],[0,34,36,39,38,37,35,31,33,32,0],[0,72,61,64,68,69,66,62,74,63,65,67,0],[0,59,60,58,56,53,54,55,57,0],[0,47,49,52,50,51,48,45,46,44,40,41,42,43,0],[0,91,87,86,83,82,84,85,88,89,90,0],[0,80,79,77,73,70,71,76,78,81,0],[0,23,24,27,29,30,28,26,25,22,21,20,0]],845.7677165681565,78.61001896858215
95442.33042876808,[[0,0,23,24,27,29,30,28,26,25,22,21,20,0],[0,59,60,58,56,53,54,55,57,0],[0,80,79,77,73,70,71,76,78,81,83,86,87,90,0],[0,12,14,16,15,19,18,17,13,0],[0,99,100,97,93,92,94,95,96,98,0],[0,69,66,68,64,61,72,74,62,63,65,67,0],[0,82,84,85,88,89,91,2,1,75,0],[0,41,40,44,45,48,51,50,52,49,47,46,42,43,0],[0,31,35,37,38,39,36,34,33,32,0],[0,10,11,9,8,6,4,7,3,5,0]],851.9850742055912,77.43801856040955
94443.17303370616,[[0,31,35,34,36,39,38,37,33,32,0],[0,69,66,68,64,61,72,74,62,63,65,67,0],[0,91,87,86,83,82,84,85,88,89,90,0],[0,47,49,52,50,51,48,45,46,44,40,41,42,43,0],[0,99,100,97,93,92,94,95,96,98,0],[0,23,26,28,30,29,27,24,25,22,21,20,0],[0,80,76,71,70,73,77,79,78,81,0],[0,59,60,58,56,53,54,55,57,0],[0,17,18,19,12,14,16,15,13,0],[0,10,11,9,6,8,7,5,3,4,2,1,75,0]],850.5956629877586,77.60864663124084
94670.77538011753,[[0,80,76,71,70,73,77,79,78,81,86,87,0],[0,10,11,9,8,6,4,2,1,75,5,3,7,0],[0,12,14,16,15,19,18,17,13,0],[0,99,100,97,93,92,94,95,96,98,0],[0,23,26,28,30,29,27,24,25,22,21,20,0],[0,47,49,52,50,51,48,45,46,44,40,41,42,43,0],[0,59,60,58,56,53,54,55,57,0],[0,31,35,37,38,39,36,34,33,32,0],[0,69,66,68,64,61,72,74,62,63,65,67,0],[0,91,82,83,84,85,88,89,90,0]],848.4842151778989,72.2920401096344
