CMT14 FA KMEDOIDS

energy,arcs,distance,time(ms)
96106.6607163394,[[0,82,83,84,85,88,89,91,2,1,75,0],[0,99,100,97,93,92,94,95,96,98,0],[0,59,60,58,56,53,54,55,57,0],[0,17,18,19,12,14,16,15,13,0],[0,47,49,52,50,51,48,45,46,44,40,41,42,43,0],[0,10,11,9,8,6,4,7,3,5,0],[0,69,66,68,64,61,72,74,62,63,65,67,0],[0,80,73,70,71,76,78,77,79,81,86,87,90,0],[0,34,36,39,38,37,35,31,33,32,0],[0,23,24,27,29,30,28,26,25,22,21,20,0]],857.2898536296119,79.38519358634949
94096.14034421317,[[0,80,79,77,73,70,71,76,78,81,0],[0,31,35,37,38,39,36,34,33,32,0],[0,17,18,19,12,14,16,15,13,10,0],[0,91,87,86,83,82,84,85,88,89,90,0],[0,99,100,97,93,92,94,95,96,98,0],[0,49,52,50,51,48,45,44,40,41,42,46,47,43,0],[0,23,24,27,29,30,28,26,25,22,21,20,0],[0,69,66,68,64,61,72,74,62,63,65,67,0],[0,59,60,58,56,53,54,55,57,0],[0,5,3,7,8,11,9,6,4,2,1,75,0]],840.3407552172472,80.84493470191956
94984.976584265,[[0,59,60,58,56,53,54,55,57,0],[0,69,66,68,64,61,72,74,62,63,65,67,0],[0,31,35,37,38,39,36,34,33,32,0],[0,80,79,77,73,70,71,76,78,81,82,83,87,0],[0,91,86,84,85,88,89,90,0],[0,30,29,27,24,25,28,26,23,22,21,20,0],[0,99,100,97,93,92,94,95,96,98,0],[0,47,49,52,50,51,48,45,46,44,40,41,42,43,0],[0,17,18,19,12,14,16,15,13,10,0],[0,75,1,2,4,6,9,11,8,7,3,5,0]],842.7075359253537,77.38614845275879
95126.73430920293,[[0,23,26,28,30,29,27,24,25,22,21,20,0],[0,12,14,16,15,19,18,17,13,0],[0,31,35,37,38,39,36,34,33,32,0],[0,80,79,77,73,70,71,76,78,81,86,87,0],[0,91,82,83,84,85,88,89,90,0],[0,69,66,68,64,61,72,74,62,63,65,67,0],[0,59,60,58,56,53,54,55,57,0],[0,96,95,94,92,93,97,100,99,98,0],[0,41,40,48,51,50,52,49,47,46,45,44,42,43,0],[0,10,11,9,8,6,4,2,1,75,5,3,7,0]],847.6117269314987,81.68369770050049
95291.54892786541,[[0,0,72,61,64,68,69,66,62,74,63,65,67,0],[0,59,60,58,56,53,54,55,57,0],[0,31,35,37,38,39,36,34,33,32,0],[0,91,87,86,83,82,84,85,88,89,90,0],[0,11,10,23,26,28,30,29,27,24,25,22,21,20,0],[0,80,79,77,73,70,71,76,78,81,0],[0,17,18,19,12,14,16,15,13,0],[0,96,95,94,92,93,97,100,99,98,0],[0,41,40,44,45,48,51,50,52,49,47,46,42,43,0],[0,75,1,2,4,6,9,8,7,3,5,0]],862.0225050337223,80.65906286239624
95100.78694176921,[[0,91,87,86,83,82,84,85,88,89,90,0],[0,96,95,94,92,93,97,100,99,98,0],[0,59,60,58,56,53,54,55,57,0],[0,17,18,19,12,14,16,15,13,10,0],[0,80,79,77,73,70,71,76,78,81,0],[0,31,35,34,36,39,38,37,33,32,0],[0,69,66,68,64,61,72,74,62,63,65,67,0],[0,41,40,44,47,49,52,50,51,48,45,46,42,43,0],[0,23,24,27,29,30,28,26,25,22,21,20,0],[0,75,1,2,4,6,9,11,8,7,3,5,0]],850.7677237982717,76.33271169662476
95278.87673301942,[[0,69,66,68,64,61,72,74,62,63,65,67,0],[0,31,35,34,36,39,38,37,33,32,0],[0,59,60,58,56,53,54,55,57,0],[0,30,29,27,24,25,28,26,23,22,21,20,0],[0,99,100,97,93,92,94,95,96,98,0],[0,80,79,77,73,70,71,76,78,81,82,83,87,0],[0,17,18,19,12,14,16,15,13,0],[0,41,40,44,45,48,51,50,52,49,47,46,42,43,0],[0,91,86,84,85,88,89,90,0],[0,10,11,9,75,1,2,4,6,8,7,3,5,0]],857.7653633363115,76.58791303634644
94351.30633648377,[[0,34,36,39,38,37,35,31,33,32,0],[0,47,49,52,50,51,48,45,46,44,40,41,42,43,0],[0,99,100,97,93,92,94,95,96,98,0],[0,80,79,77,73,70,71,76,78,81,86,87,0],[0,23,26,28,30,29,27,24,25,22,21,20,0],[0,69,66,68,64,61,72,74,62,63,65,67,0],[0,59,60,58,56,53,54,55,57,0],[0,91,82,83,84,85,88,89,90,0],[0,12,14,16,15,19,18,17,13,0],[0,10,11,9,8,6,4,2,1,75,5,3,7,0]],838.8224352099828,77.11382555961609
94808.98270576919,[[0,59,60,58,56,53,54,55,57,0],[0,80,76,71,70,73,77,79,78,81,86,87,90,0],[0,99,100,97,93,92,94,95,96,98,0],[0,34,36,39,38,37,35,31,33,32,0],[0,49,52,50,51,48,45,44,40,41,42,46,47,43,0],[0,69,66,68,64,61,72,74,62,63,65,67,0],[0,10,11,9,8,6,4,2,1,75,5,3,7,0],[0,23,24,27,29,30,28,26,25,22,21,20,0],[0,17,18,19,12,14,16,15,13,0],[0,82,83,84,85,88,89,91,0]],855.1008254638912,79.43596148490906
95151.58654531473,[[0,80,79,77,73,70,71,76,78,81,82,83,86,0],[0,10,11,9,3,5,75,1,2,4,6,8,7,0],[0,69,66,68,64,61,72,74,62,63,65,67,0],[0,31,35,37,38,39,36,34,33,32,0],[0,59,60,58,56,53,54,55,57,0],[0,99,100,97,93,92,94,95,96,98,0],[0,17,18,19,12,14,16,15,13,0],[0,41,40,44,45,48,51,50,52,49,47,46,42,43,0],[0,91,89,88,85,84,87,90,0],[0,23,24,27,29,30,28,26,25,22,21,20,0]],844.0525840746343,83.3756959438324
