A-n48-k7 FA KMEANS

energy,arcs,distance,time(ms)
41851.86342277557,[[0,38,42,11,4,24,9,34,45,40,0],[0,22,6,1,5,31,43,23,0],[0,29,28,2,47,16,17,14,0],[0,13,46,30,21,33,10,0],[0,7,32,25,19,37,36,35,0],[0,3,20,26,39,8,15,27,0],[0,41,12,44,18,0]],1313.940440311428,9.512581825256348
41965.711294984365,[[0,25,19,38,22,6,31,12,0],[0,28,4,24,9,34,45,40,0],[0,29,42,11,26,39,8,15,27,0],[0,7,41,2,47,16,17,14,0],[0,32,1,5,43,23,44,18,0],[0,20,3,37,36,35,0],[0,13,46,30,21,33,10,0]],1335.1293393225292,9.43889594078064
41593.37930256131,[[0,30,46,13,4,24,9,34,45,40,0],[0,7,32,22,6,35,44,18,0],[0,42,11,26,39,8,15,27,0],[0,20,28,10,47,16,14,0],[0,1,5,12,31,43,23,0],[0,29,21,33,2,41,17,0],[0,3,25,38,19,37,36,0]],1306.6710822864047,8.6440749168396
42054.27149030597,[[0,29,21,11,4,24,9,34,40,0],[0,1,5,12,31,43,23,44,0],[0,3,25,19,38,22,6,35,0],[0,7,42,15,37,36,32,18,0],[0,20,26,39,8,27,45,0],[0,28,10,2,41,17,14,0],[0,13,46,30,33,47,16,0]],1309.9840067800374,9.213924407958984
41360.73428120423,[[0,34,22,1,5,12,31,43,23,0],[0,29,24,4,13,30,21,33,10,0],[0,20,26,39,8,27,45,0],[0,3,25,38,19,37,36,44,0],[0,7,40,32,6,35,18,0],[0,11,42,15,9,28,47,16,0],[0,46,2,41,17,14,0]],1379.3970438060228,9.925281047821045
42543.54314786118,[[0,42,20,26,39,8,27,45,0],[0,3,25,37,19,38,22,6,0],[0,29,13,46,30,10,47,0],[0,41,40,7,36,32,35,44,18,0],[0,1,5,12,31,43,23,0],[0,11,15,9,34,28,16,0],[0,4,24,21,33,2,17,14,0]],1324.2402313535329,8.386108160018921
41668.18345894352,[[0,46,13,4,24,9,34,45,0],[0,32,22,1,5,12,31,43,23,0],[0,11,20,26,39,8,27,40,0],[0,15,3,19,38,6,44,0],[0,25,37,36,35,18,0],[0,42,28,33,10,47,16,0],[0,7,29,30,21,2,41,17,14,0]],1385.5092335372397,8.41184687614441
42238.6884013685,[[0,11,13,24,9,34,28,47,17,0],[0,20,39,8,15,27,45,0],[0,32,25,38,19,37,36,40,0],[0,46,30,2,41,14,0],[0,3,6,31,43,23,35,44,18,0],[0,42,4,29,21,33,10,16,0],[0,26,7,22,1,5,12,0]],1462.8287945952477,8.77688217163086
41555.86970577976,[[0,13,24,4,11,42,15,40,0],[0,9,34,28,10,47,16,14,0],[0,46,30,21,33,2,41,17,0],[0,29,20,26,39,8,27,45,0],[0,7,32,31,5,12,23,44,18,0],[0,3,25,19,37,36,35,0],[0,38,22,6,1,43,0]],1335.4568288312742,9.317189455032349
41313.67099516833,[[0,3,25,37,19,38,22,6,0],[0,42,26,39,8,15,27,45,0],[0,11,13,4,24,9,28,16,14,0],[0,29,46,30,21,33,10,47,0],[0,20,7,40,36,35,44,18,0],[0,32,1,5,12,31,43,23,0],[0,34,2,41,17,0]],1365.038668280423,8.74617862701416
