A-n48-k7 RA KMEANS

energy,arcs,distance,time(ms)
47076.78261292528,[[0,24,9,34,27,45,28,10,0],[0,3,37,19,38,25,22,6,0],[0,2,41,47,16,17,14,0],[0,1,5,12,31,43,23,0],[0,11,4,42,39,26,8,15,0],[0,20,13,46,30,21,29,33,0],[0,7,40,36,32,35,44,18,0]],inf,0.2109994888305664
46602.38846751758,[[0,24,9,27,45,34,28,10,0],[0,3,37,25,19,38,22,6,0],[0,41,2,47,16,17,14,0],[0,1,5,31,43,12,23,0],[0,4,42,11,26,39,8,15,0],[0,20,13,29,21,30,46,33,0],[0,7,40,36,32,35,44,18,0]],inf,0.21500110626220703
47112.512209237655,[[0,9,24,27,45,34,28,10,0],[0,3,37,38,19,25,22,6,0],[0,2,41,16,47,17,14,0],[0,1,5,12,31,43,23,0],[0,4,42,11,39,26,8,15,0],[0,20,13,46,30,21,29,33,0],[0,32,40,7,36,35,44,18,0]],inf,0.21199941635131836
46093.22374119783,[[0,24,9,27,45,34,28,10,0],[0,3,37,25,19,38,22,6,0],[0,41,2,47,16,17,14,0],[0,1,5,12,31,43,23,0],[0,4,42,11,26,39,8,15,0],[0,20,13,46,30,21,29,33,0],[0,7,40,36,32,35,44,18,0]],inf,0.21700000762939453
46805.24380642308,[[0,24,9,27,45,34,28,10,0],[0,3,25,38,19,37,22,6,0],[0,41,2,16,47,17,14,0],[0,1,5,12,31,43,23,0],[0,4,42,11,26,39,8,15,0],[0,20,29,21,30,13,46,33,0],[0,7,40,36,32,35,44,18,0]],inf,0.2090001106262207
46242.87461286499,[[0,24,9,27,45,34,28,10,0],[0,3,25,37,19,38,22,6,0],[0,2,41,16,47,17,14,0],[0,1,5,12,31,43,23,0],[0,4,42,11,26,39,8,15,0],[0,20,13,46,30,21,29,33,0],[0,7,40,36,32,35,44,18,0]],inf,0.2090001106262207
46481.77845769924,[[0,24,9,27,45,34,28,10,0],[0,3,37,19,25,38,22,6,0],[0,41,2,47,16,17,14,0],[0,1,5,12,31,43,23,0],[0,4,42,11,39,26,8,15,0],[0,20,13,46,30,21,29,33,0],[0,7,40,36,32,35,44,18,0]],inf,0.2069995403289795
46745.71588840826,[[0,24,9,27,45,34,28,10,0],[0,3,37,25,19,38,22,6,0],[0,41,2,47,16,17,14,0],[0,1,5,43,31,12,23,0],[0,4,42,11,39,26,8,15,0],[0,20,29,21,30,13,46,33,0],[0,7,40,36,32,35,44,18,0]],inf,0.2089998722076416
46411.754537541296,[[0,24,9,27,45,34,28,10,0],[0,3,25,37,38,19,22,6,0],[0,2,41,47,16,17,14,0],[0,1,5,12,31,43,23,0],[0,4,42,11,26,39,8,15,0],[0,20,13,46,30,21,29,33,0],[0,7,40,36,32,35,44,18,0]],inf,0.20600032806396484
46357.73786862847,[[0,24,9,34,27,45,28,10,0],[0,3,37,25,19,38,22,6,0],[0,2,41,47,16,17,14,0],[0,1,5,12,31,43,23,0],[0,4,42,11,26,39,8,15,0],[0,20,13,46,30,21,29,33,0],[0,7,40,36,32,35,44,18,0]],inf,0.2089998722076416
