CMT7 FA KMEDOIDS

energy,arcs,distance,time(ms)
66169.50205578434,[[0,15,61,69,36,71,60,70,20,37,5,29,0],[0,72,31,10,58,45,4,0],[0,38,65,66,11,7,26,0],[0,63,23,49,24,3,44,32,40,0],[0,19,54,57,13,27,52,46,34,0],[0,25,55,18,50,9,39,12,17,0],[0,56,41,42,43,1,73,33,6,0],[0,59,14,53,35,8,67,0],[0,28,21,47,48,30,75,0],[0,51,16,64,22,62,74,2,68,0]],950.2098991639705,39.09765315055847
65659.6841520029,[[0,71,60,70,20,37,36,47,48,30,0],[0,25,55,18,50,32,40,17,0],[0,49,24,3,44,9,39,12,26,0],[0,72,31,38,11,53,35,7,0],[0,74,56,41,42,43,1,63,16,51,0],[0,69,61,21,28,73,33,6,0],[0,68,45,29,5,15,57,13,27,52,0],[0,14,19,8,46,34,67,0],[0,54,59,66,65,10,58,0],[0,23,64,22,62,2,4,75,0]],962.8428474021838,41.40976619720459
66930.32831359272,[[0,49,64,42,41,43,1,73,33,51,0],[0,22,61,21,28,62,2,0],[0,12,58,39,9,40,17,0],[0,74,69,36,47,48,45,4,75,0],[0,57,13,54,19,35,8,27,52,34,0],[0,14,11,53,7,46,0],[0,15,71,60,70,20,37,5,29,30,68,0],[0,72,31,25,50,32,44,3,6,0],[0,55,18,24,56,23,63,16,67,0],[0,59,66,65,38,10,26,0]],973.4088645071755,42.70349311828613
67391.10391885659,[[0,69,71,60,70,36,47,21,30,45,0],[0,56,23,63,3,44,72,10,58,26,0],[0,55,25,50,18,24,49,16,51,6,0],[0,39,65,66,11,38,12,0],[0,35,8,27,52,46,34,67,0],[0,31,9,32,40,17,0],[0,61,22,62,28,74,2,68,75,0],[0,64,42,41,43,1,73,33,0],[0,13,15,20,37,5,48,29,4,0],[0,57,54,19,59,14,53,7,0]],982.0024709338414,39.61648344993591
65907.29275178131,[[0,39,25,55,18,50,32,44,3,51,0],[0,72,65,11,38,10,58,26,0],[0,64,61,28,21,47,48,0],[0,69,36,71,60,70,20,37,5,29,45,0],[0,12,35,19,8,46,34,67,0],[0,49,24,31,9,40,17,0],[0,74,22,42,41,43,1,73,62,2,0],[0,30,15,57,54,13,27,52,4,0],[0,56,23,63,16,33,6,68,75,0],[0,66,59,14,53,7,0]],957.5650732787799,39.334787368774414
65679.66302406522,[[0,58,10,38,65,11,53,0],[0,72,31,39,9,32,44,3,51,0],[0,55,25,50,18,24,49,40,12,0],[0,35,8,54,13,27,52,46,34,0],[0,69,71,60,70,20,37,5,48,30,0],[0,61,64,42,22,62,73,33,6,0],[0,36,21,28,74,2,68,75,0],[0,57,15,47,29,45,4,67,0],[0,23,56,41,43,1,63,16,17,0],[0,66,59,14,19,7,26,0]],939.4647697215249,42.32500863075256
65114.05556695681,[[0,55,25,50,9,39,72,58,67,0],[0,36,69,21,47,48,45,4,0],[0,22,64,42,41,43,1,73,33,0],[0,31,10,38,65,11,7,0],[0,15,71,60,70,20,37,5,29,30,68,0],[0,56,23,63,16,3,44,12,26,0],[0,19,54,57,13,27,52,46,34,0],[0,74,61,28,62,2,6,75,0],[0,66,59,14,53,35,8,0],[0,51,49,24,18,32,40,17,0]],941.8836138946875,41.58114290237427
68885.80589360528,[[0,72,38,65,66,11,53,35,0],[0,39,9,32,40,12,26,0],[0,57,15,70,60,71,36,47,48,29,45,0],[0,55,18,24,49,44,3,16,51,17,0],[0,20,37,5,46,4,75,0],[0,7,59,14,19,8,52,34,0],[0,54,13,27,21,74,2,6,68,0],[0,50,25,31,10,58,67,0],[0,69,61,22,64,42,43,1,33,0],[0,41,56,23,63,73,62,28,30,0]],988.2433780596938,41.68358135223389
65338.04133317314,[[0,51,24,49,16,63,73,2,4,0],[0,54,19,35,8,27,52,46,34,0],[0,69,36,71,60,70,20,37,5,29,45,0],[0,59,14,65,38,10,58,0],[0,32,9,39,12,26,67,0],[0,23,56,41,22,62,28,74,75,0],[0,61,64,42,43,1,33,6,0],[0,25,55,18,50,44,3,40,17,0],[0,13,57,15,47,21,48,30,68,0],[0,72,31,66,11,53,7,0]],942.5620207058207,38.72212243080139
67364.55625524171,[[0,9,39,7,46,34,67,0],[0,69,36,71,60,70,20,37,5,29,45,0],[0,72,18,24,49,42,43,1,33,6,0],[0,19,11,65,38,10,58,0],[0,23,63,73,62,74,21,47,48,30,0],[0,54,13,57,15,27,52,4,75,0],[0,56,16,32,40,12,26,0],[0,31,55,25,50,44,3,51,17,0],[0,66,59,14,53,35,8,0],[0,41,64,22,61,28,2,68,0]],1001.6975205549516,41.19664454460144
