A-n55-k9 FA KMEDOIDS

energy,arcs,distance,time(ms)
41791.25593740717,[[0,4,7,30,41,25,0],[0,44,24,52,23,50,48,18,0],[0,47,16,38,53,5,10,32,8,0],[0,39,49,9,35,43,0],[0,2,15,11,12,21,0],[0,1,45,6,29,0],[0,40,51,33,34,3,37,36,0],[0,17,14,46,20,26,31,42,0],[0,22,54,13,27,19,28,0]],1209.592252997476,24.65875005722046
41802.17989812215,[[0,52,24,23,54,13,28,0],[0,4,7,42,31,20,26,0],[0,51,2,34,17,46,14,37,0],[0,1,43,45,6,0],[0,40,16,38,53,5,10,12,21,0],[0,39,49,9,35,0],[0,30,22,27,19,41,25,0],[0,44,50,48,18,29,32,8,0],[0,47,15,11,33,3,36,0]],1245.7454733935467,22.441270351409912
41532.29198624352,[[0,7,30,22,27,19,25,0],[0,39,49,9,35,8,0],[0,47,40,16,38,53,5,32,12,0],[0,1,43,45,6,0],[0,44,23,50,48,18,29,0],[0,4,17,14,46,20,26,31,42,0],[0,2,15,11,10,21,0],[0,51,33,34,3,37,36,0],[0,24,52,54,13,28,41,0]],1243.8556747628065,23.01588249206543
41359.27418045925,[[0,44,54,13,27,19,28,0],[0,40,16,38,53,5,10,12,21,0],[0,47,39,49,9,35,0],[0,1,43,45,6,0],[0,52,24,23,50,48,18,29,0],[0,51,11,15,32,8,0],[0,2,33,34,17,3,37,36,0],[0,20,46,14,26,31,42,0],[0,4,7,30,22,41,25,0]],1187.0368244254996,22.400150537490845
42290.88643035067,[[0,0,54,13,27,19,28,25,0],[0,40,16,38,53,5,10,12,21,0],[0,44,1,45,6,0],[0,47,39,49,9,35,43,0],[0,4,7,42,31,20,46,26,0],[0,52,24,23,50,48,18,29,0],[0,30,22,41,32,8,0],[0,2,34,17,14,3,37,36,0],[0,51,11,15,33,0]],1184.7190893587817,22.72202777862549
42117.59719035041,[[0,52,54,13,27,19,28,0,0],[0,47,39,49,9,35,0],[0,1,43,45,6,0],[0,4,20,46,14,26,31,42,0],[0,40,16,38,53,10,32,12,8,0],[0,11,33,34,17,3,37,36,0],[0,7,30,22,41,25,0],[0,44,24,23,50,48,18,29,0],[0,51,2,15,5,21,0]],1234.6265681111288,23.361544132232666
41439.01231040919,[[0,4,7,30,22,27,19,25,0],[0,40,16,38,53,5,10,12,21,0],[0,2,33,34,17,3,37,36,0],[0,47,39,49,9,35,8,0],[0,20,46,14,26,31,42,0],[0,24,52,54,13,28,41,0],[0,51,11,15,32,0],[0,1,43,45,6,0],[0,44,23,50,48,18,29,0]],1187.434928736355,23.291723012924194
41584.541831930546,[[0,40,16,38,53,5,10,12,21,0],[0,1,43,45,6,0],[0,4,42,31,26,20,46,14,36,0],[0,2,33,34,17,3,37,0],[0,7,30,22,41,25,0],[0,47,39,49,9,35,8,0],[0,51,15,11,32,0],[0,52,24,23,50,48,18,29,0],[0,44,54,13,27,19,28,0]],1194.6822954602474,22.06838846206665
42747.87817072206,[[0,36,54,13,27,19,41,25,0],[0,47,53,11,15,33,37,0],[0,40,16,38,5,10,32,12,8,0],[0,51,2,34,17,3,14,0],[0,44,24,52,23,50,48,18,0],[0,30,22,28,29,21,0,0],[0,1,43,45,6,0],[0,39,49,9,35,0],[0,4,7,20,46,26,31,42,0]],1251.4383710635523,23.33838963508606
42338.16876772387,[[0,0,1,43,45,6,0],[0,52,24,23,54,13,28,0],[0,47,16,38,53,5,10,32,8,0],[0,51,2,33,34,17,3,0],[0,44,50,48,18,29,41,25,0],[0,40,39,49,9,35,0],[0,20,26,46,14,37,36,0],[0,27,19,22,30,7,42,31,0],[0,4,15,11,12,21,0]],1254.2633490270468,23.051242113113403
