A-n55-k9 RA KMEANS

energy,arcs,distance,time(ms)
48522.941259306936,[[0,30,22,19,27,13,21,8,0],[0,40,16,38,53,5,10,32,0],[0,44,24,23,54,50,48,0],[0,35,9,49,39,47,0],[0,12,17,34,3,14,37,36,0],[0,7,42,31,20,46,26,0],[0,1,45,43,6,0],[0,52,18,29,28,41,25,0],[0,4,33,2,51,15,11,0]],inf,0.24699902534484863
47753.9703301348,[[0,30,22,19,27,13,21,8,0],[0,40,16,38,53,5,10,32,0],[0,44,24,23,54,50,48,0],[0,47,39,49,9,35,0],[0,12,36,34,17,3,14,37,0],[0,7,42,31,20,46,26,0],[0,1,6,43,45,0],[0,52,29,18,28,41,25,0],[0,4,33,2,51,15,11,0]],inf,0.247999906539917
48429.973487526244,[[0,30,22,19,27,13,21,8,0],[0,40,16,38,53,5,10,32,0],[0,44,24,23,54,50,48,0],[0,47,39,49,9,35,0],[0,36,12,34,17,3,14,37,0],[0,20,46,26,31,42,7,0],[0,43,1,45,6,0],[0,29,18,52,28,41,25,0],[0,4,33,2,51,11,15,0]],inf,0.2570004463195801
49258.552052358085,[[0,30,22,19,27,13,21,8,0],[0,40,16,38,53,5,10,32,0],[0,44,24,23,54,50,48,0],[0,49,39,9,35,47,0],[0,12,34,17,3,14,37,36,0],[0,7,42,31,20,46,26,0],[0,1,43,45,6,0],[0,52,28,41,25,29,18,0],[0,4,33,2,51,15,11,0]],inf,0.25499963760375977
47357.151897751515,[[0,30,22,13,27,19,8,21,0],[0,16,38,40,53,5,10,32,0],[0,44,24,23,54,50,48,0],[0,47,39,49,9,35,0],[0,12,17,34,3,14,37,36,0],[0,7,20,46,26,31,42,0],[0,43,1,45,6,0],[0,52,28,29,18,41,25,0],[0,4,33,2,51,15,11,0]],inf,0.24900031089782715
49597.90489205102,[[0,30,22,13,27,19,8,21,0],[0,40,16,38,53,5,10,32,0],[0,44,24,54,23,50,48,0],[0,39,47,49,9,35,0],[0,36,12,14,3,17,34,37,0],[0,7,20,46,26,31,42,0],[0,1,45,43,6,0],[0,52,28,41,25,29,18,0],[0,4,33,2,51,15,11,0]],inf,0.2569997310638428
48363.650942326196,[[0,30,22,19,27,13,21,8,0],[0,40,16,38,53,5,10,32,0],[0,54,44,24,23,50,48,0],[0,49,35,9,39,47,0],[0,36,12,34,17,3,14,37,0],[0,7,31,42,20,46,26,0],[0,1,6,43,45,0],[0,52,28,18,29,41,25,0],[0,4,33,2,51,15,11,0]],inf,0.25600171089172363
48869.905030679256,[[0,30,22,19,27,13,21,8,0],[0,40,16,38,53,5,10,32,0],[0,44,24,54,23,50,48,0],[0,39,49,9,35,47,0],[0,12,34,17,3,14,37,36,0],[0,7,20,46,26,31,42,0],[0,43,1,45,6,0],[0,52,28,41,25,29,18,0],[0,4,33,2,51,15,11,0]],inf,0.2589986324310303
46990.41503445872,[[0,30,22,19,27,13,8,21,0],[0,40,16,38,53,5,10,32,0],[0,44,24,23,54,50,48,0],[0,47,39,49,9,35,0],[0,12,14,17,34,3,37,36,0],[0,7,20,46,26,31,42,0],[0,43,1,45,6,0],[0,52,28,18,29,41,25,0],[0,4,33,2,51,15,11,0]],inf,0.25300049781799316
48770.403491373705,[[0,30,22,19,27,13,21,8,0],[0,40,16,38,53,5,10,32,0],[0,44,24,23,54,50,48,0],[0,35,9,49,39,47,0],[0,12,34,17,14,3,37,36,0],[0,7,42,31,20,46,26,0],[0,43,1,45,6,0],[0,52,28,29,18,25,41,0],[0,4,33,2,51,11,15,0]],inf,0.25099945068359375
