A-n55-k9 FA KMEANS

energy,arcs,distance,time(ms)
42371.73968235854,[[0,51,2,11,15,37,36,0],[0,49,43,29,25,0],[0,4,7,42,31,20,46,26,0],[0,22,13,27,19,28,41,0],[0,40,16,38,53,5,10,12,21,0],[0,47,39,9,35,32,8,0],[0,54,52,24,23,50,48,18,0],[0,30,14,33,34,17,3,0],[0,44,1,45,6,0]],1247.1350034558482,10.352953672409058
41761.16385179955,[[0,1,43,45,6,0],[0,40,16,38,53,5,10,12,21,0],[0,30,4,7,42,31,26,14,0],[0,49,39,47,32,8,0],[0,51,2,11,15,33,36,0],[0,9,35,48,18,29,0],[0,50,22,27,28,41,25,0],[0,20,46,17,34,3,37,0],[0,44,24,52,23,54,13,19,0]],1242.0556563660532,11.001184701919556
42011.521953979216,[[0,4,14,33,34,17,3,37,36,0],[0,40,16,38,53,5,10,12,21,0],[0,54,27,19,22,30,7,0],[0,52,44,50,48,18,29,25,0],[0,2,46,20,26,31,42,0],[0,1,43,45,6,0],[0,47,39,49,9,35,8,0],[0,51,11,15,32,0],[0,24,23,13,28,41,0]],1258.7637732195567,10.469988822937012
42689.81165093476,[[0,47,16,38,53,5,10,12,0],[0,44,24,52,23,54,13,19,0],[0,1,43,45,6,0],[0,22,27,28,41,25,0],[0,20,14,33,34,17,3,36,0],[0,51,2,11,15,37,0],[0,40,39,49,9,35,8,0],[0,30,4,7,42,31,46,26,0],[0,29,50,48,18,32,21,0]],1178.5999074150996,10.909039974212646
42232.25728989375,[[0,40,16,38,53,5,10,32,12,0],[0,4,14,33,34,17,3,37,0],[0,1,43,45,6,0],[0,7,20,46,26,31,42,0],[0,44,24,52,23,50,48,18,0],[0,54,13,27,19,41,25,0],[0,47,39,49,9,35,8,0],[0,51,2,15,11,36,0],[0,30,22,28,29,21,0]],1179.5096120502958,10.91152572631836
42302.44069189336,[[0,1,43,45,6,0],[0,44,24,52,54,28,41,0],[0,40,16,38,53,5,10,12,21,0],[0,4,7,20,46,26,31,42,0],[0,36,30,22,13,27,19,25,0],[0,47,39,49,9,35,8,0],[0,51,2,34,17,14,37,0],[0,29,23,50,48,18,32,0],[0,11,15,33,3,0]],1201.3230861297495,10.774595260620117
41675.50043660004,[[0,39,49,9,35,8,0],[0,47,40,16,38,53,5,10,12,0],[0,20,46,14,17,34,3,36,0],[0,30,4,7,42,31,26,37,0],[0,51,2,11,15,33,0],[0,22,13,27,19,28,25,0],[0,1,43,45,6,0],[0,44,24,52,23,54,41,0],[0,29,50,48,18,32,21,0]],1162.7993396584995,10.164016485214233
42525.060056710325,[[0,44,24,52,23,41,25,0],[0,2,17,20,46,14,3,37,0],[0,1,43,45,6,0],[0,47,16,38,53,5,10,21,8,0],[0,39,49,9,35,0],[0,40,11,15,34,33,0],[0,51,26,31,42,7,4,0],[0,36,29,50,48,18,32,12,0],[0,30,22,54,13,27,19,28,0]],1277.7359890498135,10.367903470993042
42715.10852285938,[[0,54,22,19,28,41,25,0],[0,51,2,14,46,20,26,0],[0,47,16,38,53,5,10,12,36,0],[0,44,24,52,23,50,48,18,0],[0,13,27,30,4,7,42,31,0],[0,29,33,34,17,3,37,0],[0,39,49,9,35,8,0],[0,40,11,15,32,21,0],[0,1,43,45,6,0]],1287.2777186164942,10.65010118484497
42464.75202109928,[[0,44,54,13,27,28,25,0],[0,20,26,31,42,7,4,0],[0,39,49,9,35,0],[0,40,16,38,53,5,10,32,12,0],[0,51,2,17,46,14,3,37,36,0],[0,1,43,45,6,0],[0,52,24,23,50,48,18,29,0],[0,47,11,15,34,33,0],[0,30,22,19,41,21,8,0]],1268.4973522920545,10.540847063064575
