A-n44-k6 FA KMEDOIDS

energy,arcs,distance,time(ms)
34213.171754444826,[[0,21,32,42,37,11,10,26,19,0],[0,18,16,20,39,17,34,4,0],[0,40,43,29,25,3,6,0],[0,41,13,14,38,9,36,22,2,0],[0,35,1,30,23,12,31,0],[0,7,5,33,24,27,28,15,8,0]],1091.401924676109,14.694335222244263
33350.67927111768,[[0,18,35,1,43,29,3,12,39,17,0],[0,41,13,14,38,9,36,22,2,0],[0,20,16,11,10,26,34,4,0],[0,21,32,42,37,33,19,0],[0,40,30,23,25,6,0],[0,7,5,24,27,28,15,8,31,0]],1054.0027532651225,13.428416728973389
35066.51192223282,[[0,21,32,42,37,5,27,28,0],[0,26,11,10,33,24,19,15,8,0],[0,18,35,40,30,39,34,4,0],[0,1,13,14,38,9,36,41,2,0],[0,7,22,43,29,25,3,6,0],[0,16,20,23,12,17,31,0]],1210.9891615368547,13.014606714248657
33973.78044637799,[[0,7,41,14,38,9,36,22,2,0],[0,5,24,33,19,27,28,15,8,0],[0,35,1,40,29,25,3,6,0],[0,21,32,42,37,11,10,26,34,0],[0,18,16,20,30,23,39,0],[0,13,43,12,17,4,31,0]],1117.2370299558856,12.570364475250244
33005.19256149354,[[0,32,42,37,11,10,33,19,0],[0,21,16,20,30,23,17,0],[0,41,13,14,38,9,36,22,2,0],[0,7,5,24,27,28,15,8,31,0],[0,18,35,1,40,12,39,34,4,0],[0,26,43,29,25,3,6,0]],1113.2673109047262,12.998415231704712
34114.217877757656,[[0,21,18,35,1,23,39,34,4,0],[0,7,24,33,19,27,28,15,8,0],[0,41,13,14,38,9,36,22,2,0],[0,32,42,37,11,10,26,31,0],[0,40,43,29,25,3,6,0],[0,5,16,20,30,12,17,0]],1138.7555326441302,13.566478729248047
33543.79519738627,[[0,26,43,29,25,3,6,0,0],[0,7,5,24,27,28,15,8,31,0],[0,18,35,1,40,23,39,12,17,0],[0,32,42,37,11,10,33,19,0],[0,41,13,14,38,9,36,22,2,0],[0,21,16,20,30,34,4,0]],1122.5416513781468,13.027076244354248
33809.45255494184,[[0,13,43,3,12,39,34,4,0],[0,42,37,11,10,33,19,15,0],[0,18,35,1,40,29,25,6,0],[0,32,21,5,24,27,28,8,31,0],[0,16,20,30,23,17,0],[0,26,7,41,14,38,9,36,22,2,0]],1194.6323949116822,12.804221391677856
33569.09490441398,[[0,0,35,20,16,11,26,39,34,0],[0,21,32,42,37,10,33,19,0],[0,41,13,14,38,9,36,22,2,0],[0,7,5,24,27,28,15,8,31,0],[0,18,30,23,3,12,17,4,0],[0,1,40,43,29,25,6,0]],1138.5510502368754,12.324024677276611
33177.66718278639,[[0,20,16,10,26,39,34,4,0],[0,11,21,32,42,37,33,19,0],[0,18,35,1,30,23,3,6,0],[0,7,5,24,27,28,15,8,31,0],[0,41,13,14,38,9,36,22,2,0],[0,40,43,29,25,12,17,0]],1063.7733377610525,13.059610605239868
