A-n44-k6 FA KMEANS

energy,arcs,distance,time(ms)
34690.362800033385,[[0,21,29,43,38,9,36,2,0],[0,7,5,24,27,28,15,8,31,0],[0,32,42,37,11,10,33,19,0],[0,13,14,41,22,6,17,4,0],[0,18,35,1,40,25,12,39,34,0],[0,26,16,20,30,23,3,0]],1156.9979022909934,6.5279998779296875
32364.929642373343,[[0,21,32,42,37,10,33,19,0],[0,40,43,29,25,3,6,0],[0,20,16,11,26,39,34,4,0],[0,7,5,24,27,28,15,8,31,0],[0,18,35,1,30,23,12,17,0],[0,41,13,14,38,9,36,22,2,0]],1038.2488144661413,6.668000221252441
34401.510562498544,[[0,21,11,10,33,24,19,8,31,0],[0,41,43,29,25,6,3,17,0],[0,32,42,37,5,27,28,15,0],[0,7,13,14,38,9,36,22,2,0],[0,18,35,1,40,30,23,12,0],[0,20,16,26,39,34,4,0]],1160.954548030423,6.136000156402588
33972.41022576055,[[0,32,5,24,27,28,15,8,31,0],[0,21,16,42,37,33,19,0],[0,7,43,29,25,3,6,0],[0,18,35,1,40,30,23,12,0],[0,20,11,10,26,39,17,34,4,0],[0,41,13,14,38,9,36,22,2,0]],1196.5799209517882,7.061052083969116
34631.06418584636,[[0,35,1,30,23,25,3,0,0],[0,32,42,37,11,10,33,19,0],[0,43,9,38,14,41,36,22,2,0],[0,21,7,5,27,28,15,8,31,0],[0,13,40,29,6,12,17,4,0],[0,24,18,20,16,26,39,34,0]],1247.6831177141376,6.649216175079346
33300.59829670565,[[0,42,37,11,10,33,19,15,0],[0,13,43,29,40,25,6,0],[0,18,35,1,20,30,23,3,0],[0,7,41,14,38,9,36,22,2,0],[0,32,21,5,24,27,28,8,31,0],[0,16,26,39,12,17,34,4,0]],1129.8236018073176,6.814044237136841
33653.27791444764,[[0,20,16,11,10,26,39,34,0,0],[0,7,5,24,27,28,15,8,31,0],[0,21,32,42,37,33,19,4,0],[0,41,13,14,38,9,36,22,2,0],[0,35,1,40,43,29,3,12,17,0],[0,18,30,23,25,6,0]],1107.3020081671075,6.056982040405273
34244.92226505997,[[0,35,18,16,11,10,26,34,0],[0,21,7,5,27,28,15,8,31,0],[0,32,42,37,33,24,19,4,0],[0,1,40,43,29,25,6,0],[0,41,13,14,38,9,36,22,2,0],[0,20,30,23,39,12,3,17,0]],1209.627196110771,6.475944757461548
33829.39575655873,[[0,35,40,43,29,25,6,0],[0,1,18,20,16,11,10,26,34,0],[0,41,13,14,38,9,36,22,2,0],[0,32,42,37,33,24,19,0],[0,39,30,23,3,12,17,4,0],[0,21,7,5,27,28,15,8,31,0]],1163.2293688772525,6.498730659484863
35135.710043866384,[[0,7,34,19,15,28,8,31,0],[0,5,21,32,42,37,33,24,27,0],[0,39,40,43,29,25,17,0],[0,35,1,30,23,12,3,6,0],[0,41,13,14,38,9,36,22,2,0],[0,18,20,16,11,10,26,4,0]],1080.6182255984156,6.825549364089966
