A-n80-k10 FA KMEANS

energy,arcs,distance,time(ms)
70322.21645174196,[[0,33,55,9,54,72,76,50,58,38,0],[0,34,18,48,79,28,71,10,0],[0,56,47,19,57,75,20,31,17,29,0],[0,8,30,44,12,23,62,13,0],[0,4,32,22,45,70,67,42,0],[0,43,68,78,59,27,5,74,3,51,0],[0,26,61,25,41,46,60,39,0],[0,14,37,2,52,7,21,40,0],[0,35,16,6,24,11,63,1,0],[0,65,69,15,64,77,53,66,36,73,49,0]],2309.5503095925105,28.401280879974365
70636.11414416718,[[0,55,9,54,72,76,50,58,38,0],[0,4,32,22,45,70,67,66,53,0],[0,65,43,68,61,59,27,5,44,12,0],[0,18,48,52,11,63,1,0],[0,35,26,19,47,69,56,41,25,46,39,0],[0,78,8,37,2,6,24,62,0],[0,33,75,29,74,3,77,51,42,13,0],[0,14,34,79,28,71,10,7,0],[0,15,64,17,30,23,21,40,0],[0,16,57,20,31,60,36,73,49,0]],2254.83521529892,24.187159776687622
69996.88788802415,[[0,41,25,46,31,17,60,3,77,51,0],[0,65,69,56,9,55,33,64,39,13,0],[0,78,8,37,2,28,71,10,0],[0,16,68,61,59,5,44,12,0],[0,14,34,24,11,63,7,21,40,0],[0,47,75,20,30,6,23,62,0],[0,43,18,48,79,52,1,0],[0,4,50,58,38,70,66,53,42,0],[0,15,54,72,32,22,45,76,67,36,0],[0,35,26,19,57,27,29,74,73,49,0]],2285.4051571557243,26.786829948425293
70917.38838039993,[[0,72,32,50,76,58,38,70,66,67,73,0],[0,26,43,68,59,27,29,74,77,42,0],[0,69,56,47,19,57,75,20,31,17,0],[0,52,34,5,60,39,3,51,13,0],[0,78,8,37,2,24,6,23,0],[0,65,55,9,22,45,0],[0,16,44,12,62,7,1,0],[0,14,18,48,79,28,71,10,0],[0,4,54,33,15,41,25,46,64,53,36,49,0],[0,35,61,30,11,63,21,40,0]],2321.5970444892273,26.880754709243774
69644.76895622676,[[0,4,55,15,41,25,46,64,39,77,51,0],[0,43,16,57,59,27,5,44,12,0],[0,26,69,19,75,20,17,29,3,0],[0,18,48,79,28,71,10,0],[0,78,8,37,2,34,11,63,13,0],[0,65,9,54,72,76,70,66,67,53,36,0],[0,32,22,45,50,58,38,0],[0,35,68,61,30,6,23,62,0],[0,14,24,52,7,1,21,40,0],[0,33,47,56,31,60,74,42,73,49,0]],2314.262434191077,26.26791763305664
70415.79604080893,[[0,35,26,43,16,61,59,27,17,29,0],[0,65,69,56,47,19,57,75,20,46,60,0],[0,79,28,52,71,21,40,0],[0,33,54,9,55,15,41,25,64,39,51,0],[0,78,37,2,34,11,63,62,0],[0,68,8,24,6,23,44,12,0],[0,72,32,22,45,50,58,38,0],[0,4,76,70,67,66,53,36,42,13,0],[0,31,30,5,74,3,77,73,49,0],[0,18,48,14,10,7,1,0]],2135.0408852507153,26.58742594718933
71782.37632577842,[[0,33,54,9,55,15,41,25,46,31,17,0],[0,4,58,38,70,53,51,42,0],[0,72,32,22,45,50,76,66,67,0],[0,26,8,37,30,59,23,44,12,0],[0,43,16,68,60,39,77,36,73,49,0],[0,64,61,27,5,29,74,13,0],[0,35,65,69,56,47,19,57,75,20,3,0],[0,14,34,52,11,63,7,21,40,0],[0,78,48,79,28,71,10,1,0],[0,18,2,6,24,62,0]],2273.050137238002,30.460227012634277
68531.99941991948,[[0,54,56,9,55,15,64,77,51,42,0],[0,33,61,30,6,24,23,62,0],[0,35,26,19,75,20,59,27,5,44,12,0],[0,4,22,45,50,76,70,67,66,0],[0,18,48,28,52,63,13,0],[0,65,69,47,41,25,46,17,29,74,0],[0,14,79,71,10,7,21,40,0],[0,72,32,58,38,53,36,73,49,0],[0,43,16,57,31,60,39,3,0],[0,78,68,8,37,2,34,11,1,0]],2184.6289004020064,25.148059129714966
69232.53550826306,[[0,14,71,10,7,1,21,40,0],[0,65,56,55,15,41,25,46,17,13,0],[0,69,47,19,57,75,20,59,5,0],[0,32,22,45,50,58,38,0],[0,8,37,2,28,52,63,0],[0,4,72,76,70,67,66,53,36,73,49,0],[0,35,26,43,16,61,27,29,74,3,0],[0,34,18,48,79,11,62,0],[0,31,68,78,30,6,24,23,44,12,0],[0,54,9,33,64,60,39,77,51,42,0]],2144.0467209589697,25.76678729057312
70041.73606501508,[[0,26,19,57,78,6,30,5,12,0],[0,33,4,22,45,32,58,38,0],[0,37,2,34,63,21,40,0],[0,43,16,68,61,59,27,31,17,29,0],[0,65,9,54,72,50,76,70,66,67,36,0],[0,14,18,48,79,28,71,10,0],[0,52,11,62,7,1,13,0],[0,35,69,56,75,20,60,39,3,51,0],[0,8,24,23,44,74,77,73,49,0],[0,47,55,15,41,25,46,64,53,42,0]],2268.9379355023616,27.636249780654907
