A-n37-k6 RA KMEANS

energy,arcs,distance,time(ms)
41182.1153820147,[[0,5,13,17,34,31,4,18,0],[0,23,28,2,33,9,21,0],[0,15,19,20,3,1,8,6,0],[0,12,22,11,30,10,26,0],[0,29,36,14,7,16,24,0],[0,32,27,35,25,0]],inf,0.13300013542175293
42993.652178135526,[[0,5,31,34,17,13,18,4,0],[0,23,28,2,21,9,33,0],[0,15,19,1,3,8,20,6,0],[0,12,22,11,10,30,26,0],[0,29,36,14,7,16,24,0],[0,32,25,35,27,0]],inf,0.13399982452392578
40741.5585556494,[[0,5,31,34,17,13,4,18,0],[0,23,28,2,21,9,33,0],[0,15,19,1,3,8,20,6,0],[0,22,12,30,11,10,26,0],[0,29,36,14,7,16,24,0],[0,27,32,25,35,0]],inf,0.13199996948242188
40770.280861359155,[[0,5,13,17,34,31,18,4,0],[0,23,28,2,33,9,21,0],[0,15,19,1,3,8,20,6,0],[0,12,22,11,10,30,26,0],[0,29,36,14,7,16,24,0],[0,27,32,25,35,0]],inf,0.13200020790100098
43713.615612511814,[[0,5,34,17,31,13,4,18,0],[0,23,28,2,21,9,33,0],[0,15,19,8,3,1,20,6,0],[0,12,22,11,10,30,26,0],[0,29,36,14,7,16,24,0],[0,32,35,25,27,0]],inf,0.13099956512451172
42445.14752808365,[[0,5,13,4,18,34,31,17,0],[0,23,28,2,21,9,33,0],[0,15,19,1,3,8,20,6,0],[0,12,22,11,30,10,26,0],[0,29,36,14,7,16,24,0],[0,32,25,35,27,0]],inf,0.1420001983642578
43254.42125561981,[[0,5,17,34,31,13,4,18,0],[0,23,28,2,33,9,21,0],[0,15,19,8,3,1,20,6,0],[0,12,22,11,10,30,26,0],[0,29,36,14,7,16,24,0],[0,32,25,35,27,0]],inf,0.13000106811523438
42103.92632801626,[[0,5,17,34,31,13,18,4,0],[0,23,28,2,33,9,21,0],[0,15,20,19,1,3,8,6,0],[0,12,22,11,30,10,26,0],[0,29,36,14,7,16,24,0],[0,27,32,25,35,0]],inf,0.14151358604431152
41261.692495209805,[[0,5,31,34,17,13,4,18,0],[0,23,28,2,33,9,21,0],[0,15,19,20,1,3,8,6,0],[0,12,22,11,10,30,26,0],[0,29,36,14,7,16,24,0],[0,27,32,35,25,0]],inf,0.1291956901550293
41771.74941680121,[[0,5,34,17,31,13,4,18,0],[0,23,28,2,33,9,21,0],[0,15,19,3,1,8,20,6,0],[0,12,22,11,10,30,26,0],[0,29,36,14,7,16,24,0],[0,27,32,25,35,0]],inf,0.14507722854614258
