A-n37-k6 FA KMEANS

energy,arcs,distance,time(ms)
35861.79280577371,[[0,1,5,3,8,36,29,0],[0,12,22,11,10,30,15,0],[0,27,32,35,25,0],[0,23,9,19,31,34,17,18,0],[0,28,33,20,6,14,7,16,24,0],[0,2,21,26,13,4,0]],1211.8307607226361,4.698009729385376
35608.28434164277,[[0,1,20,26,19,31,34,17,18,0],[0,33,5,3,8,36,29,0],[0,27,32,35,25,0],[0,12,22,10,4,7,16,24,0],[0,23,28,2,21,9,6,0],[0,11,15,30,13,14,0]],1193.265732741842,5.388999700546265
35245.29075049412,[[0,12,11,15,32,16,24,0],[0,1,5,33,9,19,31,34,17,0],[0,28,2,21,26,4,18,14,0],[0,20,27,35,25,7,0],[0,3,8,6,36,29,0],[0,23,22,10,30,13,0]],1184.8315337938625,5.103999614715576
35507.11399556093,[[0,12,28,2,21,9,34,17,0],[0,33,5,3,8,20,6,14,0],[0,22,11,15,30,13,0],[0,1,19,31,18,36,29,0],[0,27,32,35,25,0],[0,23,10,26,4,7,16,24,0]],1215.9378703767707,4.936000108718872
35705.81332523029,[[0,1,5,33,9,19,31,34,14,0],[0,23,22,10,26,13,4,18,0],[0,28,2,3,8,20,6,0],[0,27,32,35,25,0],[0,21,17,36,29,24,0],[0,12,11,15,30,7,16,0]],1206.6685310572275,5.175999641418457
34845.03751429902,[[0,12,22,11,10,26,19,31,0],[0,27,32,35,25,0],[0,15,30,13,7,16,0],[0,28,2,21,9,34,17,0],[0,23,4,18,36,29,24,0],[0,1,33,5,3,8,20,6,14,0]],1193.6692371633126,5.1549999713897705
35719.80270469458,[[0,1,33,5,3,8,20,6,14,0],[0,23,22,11,10,13,16,0],[0,28,2,21,9,19,31,4,0],[0,15,7,24,29,36,0],[0,27,32,35,25,0],[0,12,30,26,34,17,18,0]],1197.7535171675102,4.710000276565552
35592.475556868936,[[0,23,12,11,10,26,34,17,0],[0,33,2,21,9,19,31,0],[0,1,5,3,8,20,6,14,0],[0,27,32,35,25,0],[0,28,7,16,24,29,36,0],[0,22,15,30,13,4,18,0]],1210.9430826014836,5.571000814437866
35473.098329582506,[[0,23,22,11,10,26,17,18,0],[0,5,9,33,3,8,20,6,0],[0,27,32,35,25,0],[0,12,28,2,21,19,31,34,0],[0,1,4,36,29,24,16,7,0],[0,15,30,13,14,0]],1200.9819242723038,5.2649993896484375
35286.40219216005,[[0,12,22,11,10,26,13,0],[0,33,3,1,31,34,17,18,0],[0,4,15,30,7,16,24,0],[0,27,32,35,25,0],[0,23,28,2,21,9,19,14,0],[0,5,8,20,6,36,29,0]],1132.698010211,4.960000038146973
