CMT1 RA KMEANS

energy,arcs,distance,time(ms)
53033.658809148204,[[0,21,29,20,35,36,3,22,2,16,11,0],[0,43,38,9,50,34,30,39,10,49,5,0],[0,24,14,25,18,47,12,46,0],[0,17,37,45,33,15,44,42,40,19,41,13,4,0],[0,32,1,28,31,8,26,7,23,48,6,27,0]],inf,0.6737112998962402
54436.031906137345,[[0,21,29,20,35,36,3,22,2,16,11,0],[0,43,39,10,49,30,34,50,9,38,5,0],[0,24,14,25,18,47,12,46,0],[0,40,13,41,19,42,44,15,45,33,37,17,4,0],[0,0,32,1,28,31,26,8,48,23,7,6,27,0]],inf,0.7199995517730713
52699.66819686503,[[0,21,29,20,35,36,3,22,2,16,11,0],[0,0,43,49,10,39,30,34,50,9,38,5,0],[0,24,14,25,18,47,12,46,0],[0,17,37,15,45,33,44,42,19,40,41,13,4,0],[0,0,32,1,28,31,8,26,7,23,48,6,27,0]],inf,0.6750001907348633
52983.82563899244,[[0,22,3,36,35,20,29,21,16,2,11,0],[0,0,43,9,50,34,30,39,10,49,38,5,0],[0,24,14,25,18,47,12,46,0],[0,13,40,19,41,42,44,45,33,15,37,17,4,0],[0,32,1,28,31,8,26,7,23,48,6,27,0]],inf,0.6929998397827148
53272.15232636955,[[0,21,29,20,35,36,3,22,2,16,11,0],[0,43,49,10,39,30,34,50,9,38,5,0],[0,24,14,25,18,47,12,46,0],[0,40,13,41,19,42,44,15,45,33,37,17,4,0],[0,0,32,1,28,31,8,26,7,23,48,6,27,0]],inf,0.681016206741333
52576.102025895096,[[0,21,29,20,35,36,3,22,2,16,11,0],[0,0,43,10,39,30,34,50,9,49,38,5,0],[0,24,14,25,18,47,12,46,0],[0,0,17,37,15,45,33,44,42,40,19,41,13,4,0],[0,0,32,1,28,31,8,26,7,23,48,6,27,0]],inf,0.6730258464813232
52980.741811992826,[[0,22,3,36,35,20,2,29,21,16,11,0],[0,43,49,10,39,30,34,50,9,38,5,0],[0,24,14,25,18,47,12,46,0],[0,4,40,13,41,19,42,44,15,45,33,37,17,0],[0,0,32,1,28,31,8,26,7,23,48,6,27,0]],inf,0.6700747013092041
52480.60650002179,[[0,22,3,36,35,20,29,21,16,2,11,0],[0,43,9,50,34,30,39,10,49,38,5,0],[0,24,14,25,18,47,12,46,0],[0,0,17,37,15,45,33,44,42,40,19,41,13,4,0],[0,0,32,1,28,31,8,26,7,23,48,6,27,0]],inf,0.6856927871704102
52202.76668010395,[[0,0,22,3,36,35,20,29,21,16,2,11,0],[0,43,49,10,39,30,34,50,9,38,5,0],[0,24,14,25,18,47,12,46,0],[0,17,37,15,45,33,44,42,40,19,41,13,4,0],[0,1,32,28,31,8,26,7,23,48,6,27,0]],inf,0.6869997978210449
52796.146317423176,[[0,22,3,36,35,20,29,21,16,2,11,0],[0,43,9,50,34,30,39,10,49,38,5,0],[0,24,14,25,18,47,12,46,0],[0,0,17,37,15,45,33,44,42,19,40,41,13,4,0],[0,32,1,31,28,8,26,7,23,48,6,27,0]],inf,0.6725449562072754
