A-n54-k7 FA KMEDOIDS

energy,arcs,distance,time(ms)
46166.837248806216,[[0,13,45,26,17,1,10,29,20,23,0],[0,18,5,36,49,39,50,7,28,4,0],[0,40,37,12,2,27,14,32,0],[0,21,33,9,44,38,15,35,0],[0,48,8,19,11,6,16,0],[0,34,41,46,24,42,51,47,25,30,52,0],[0,31,22,3,53,43,0]],1341.8634971381541,19.686511754989624
46144.375812306665,[[0,34,33,9,44,38,10,15,35,0],[0,41,12,2,14,32,6,16,52,0],[0,31,22,3,53,11,13,0],[0,46,24,42,51,47,25,30,43,0],[0,36,18,5,23,20,49,39,50,7,28,4,0],[0,48,40,8,19,37,27,0],[0,21,45,26,17,1,29,0]],1374.660364695439,20.347147226333618
47168.20088791102,[[0,0,37,22,3,53,11,13,0],[0,48,40,8,19,12,27,30,0],[0,5,45,26,17,1,29,49,20,23,0],[0,31,33,9,44,38,10,15,35,0],[0,41,46,42,51,47,25,34,52,43,0],[0,18,24,2,14,32,6,16,0],[0,21,36,50,39,7,28,4,0]],1442.1915789605675,21.633821487426758
46230.2190239955,[[0,48,40,8,19,2,14,0],[0,18,5,23,20,49,39,50,7,28,4,0],[0,36,45,21,33,9,44,38,0],[0,34,41,46,24,42,51,47,25,30,0],[0,22,3,53,10,15,35,0],[0,13,11,26,17,1,29,43,0],[0,31,37,12,27,32,6,16,52,0]],1289.622151948165,19.5550274848938
47472.4420969193,[[0,31,22,3,53,11,13,0],[0,19,8,12,2,24,42,46,52,0],[0,36,45,26,17,1,10,15,29,0],[0,21,33,9,44,38,35,0],[0,0,30,18,5,23,20,49,39,50,7,28,4,0],[0,48,40,37,27,14,6,0],[0,32,51,41,47,25,34,16,43,0]],1329.018216090066,18.842130661010742
47591.01638845628,[[0,18,5,20,23,35,15,29,49,39,50,7,28,0],[0,48,37,12,2,24,42,51,46,52,0],[0,31,40,8,19,27,14,0],[0,36,21,45,26,17,1,10,0],[0,13,22,3,53,38,0],[0,32,41,47,25,34,30,4,43,0],[0,33,9,44,11,6,16,0]],1335.8964265901507,20.30301022529602
47477.765809319404,[[0,45,36,18,5,20,29,49,39,50,7,28,0],[0,13,22,3,53,10,15,35,0],[0,31,19,8,12,2,27,14,0],[0,32,51,41,47,25,52,43,4,0],[0,21,38,26,17,1,23,0],[0,48,40,37,24,42,46,34,30,0],[0,33,9,44,11,6,16,0]],1434.2838857323113,19.524614095687866
47212.14189859733,[[0,5,49,36,21,45,26,17,10,15,35,0],[0,18,23,20,50,39,7,28,4,43,0],[0,48,40,8,19,27,6,0],[0,31,37,12,2,14,32,16,52,0],[0,33,22,3,53,11,13,0],[0,34,41,46,24,42,51,47,25,30,0],[0,9,44,38,1,29,0]],1319.9930230651305,20.7530357837677
46384.268956160086,[[0,33,22,3,53,11,0],[0,18,5,15,35,23,20,49,39,50,7,28,4,0],[0,36,21,45,26,17,1,29,0],[0,24,37,12,2,27,14,32,52,0],[0,9,44,38,10,16,0],[0,34,41,46,42,51,47,25,30,43,0],[0,31,48,40,8,19,13,6,0]],1321.2143145756463,20.64407515525818
47325.77692044285,[[0,32,33,9,44,38,15,4,0],[0,36,18,5,7,50,39,49,29,23,20,28,0],[0,2,22,3,53,11,0],[0,31,48,40,37,12,27,14,0],[0,34,41,46,24,42,51,47,25,30,52,0],[0,8,19,13,6,16,43,0],[0,21,45,26,17,1,10,35,0]],1381.763159515394,19.71310019493103
