A-n54-k7 FA KMEANS

energy,arcs,distance,time(ms)
46990.77356641084,[[0,46,37,12,2,27,14,32,52,0],[0,18,5,35,23,20,49,39,50,7,28,4,0],[0,22,3,53,44,0],[0,36,45,26,17,1,10,15,29,0],[0,31,48,40,8,19,13,6,0],[0,21,33,9,38,11,16,0],[0,34,41,24,42,51,47,25,30,43,0]],1288.5356066898253,10.17496633529663
47765.04151769897,[[0,5,26,17,15,29,39,50,7,20,23,0],[0,51,42,46,41,47,25,30,52,43,0],[0,18,33,9,44,38,10,35,0],[0,31,22,3,53,11,13,0],[0,34,2,48,40,8,19,6,0],[0,24,37,12,27,14,32,16,0],[0,21,45,1,36,49,28,4,0]],1393.7718904495873,10.241057395935059
47840.32696756075,[[0,31,37,12,2,27,14,32,6,0],[0,34,22,3,53,44,0],[0,18,5,23,20,49,39,50,7,28,4,0],[0,24,48,40,8,19,11,13,0],[0,36,45,26,17,1,29,16,0],[0,21,33,9,38,10,15,35,0],[0,41,46,42,51,47,25,30,52,43,0]],1304.280072432652,9.759944200515747
47570.98715197835,[[0,34,37,12,2,27,6,16,52,0],[0,31,48,40,8,19,14,32,0],[0,51,24,42,46,41,47,25,30,0],[0,5,29,49,39,50,7,28,4,0],[0,11,33,9,44,38,17,0],[0,18,36,21,45,26,1,10,15,35,20,23,0],[0,22,3,53,13,43,0]],1322.3376216050242,10.439076662063599
47325.144433032925,[[0,31,48,37,12,2,14,16,0],[0,21,9,26,1,10,15,35,0],[0,36,5,20,23,29,49,39,50,7,28,0],[0,33,22,3,53,11,52,0],[0,18,32,41,46,24,42,51,47,25,34,30,0],[0,45,44,38,17,4,43,0],[0,13,40,8,19,27,6,0]],1458.0695896069228,10.357198476791382
48599.64533354617,[[0,11,26,45,36,49,39,50,7,5,28,0],[0,46,32,35,15,17,1,29,20,23,4,0],[0,31,48,40,8,19,37,12,0],[0,13,22,3,53,44,0],[0,18,51,42,24,2,27,14,6,0],[0,34,41,47,25,30,52,16,43,0],[0,21,33,9,38,10,0]],1409.0739420850782,10.179771184921265
47134.96868120368,[[0,31,48,40,8,19,37,27,0],[0,34,41,46,12,2,14,32,6,16,0],[0,18,13,11,20,49,39,50,7,5,28,4,0],[0,22,3,53,44,0],[0,51,45,26,17,1,29,23,0],[0,36,21,33,9,38,10,15,35,0],[0,24,42,47,25,30,52,43,0]],1429.5235740814976,10.540928840637207
46489.043858765646,[[0,31,22,3,53,29,0],[0,21,45,26,17,1,36,49,23,0],[0,48,40,37,12,27,14,32,0],[0,0,2,8,19,13,6,16,52,0],[0,20,18,5,50,39,7,28,4,43,0],[0,34,41,46,24,42,51,47,25,30,0],[0,11,33,9,44,38,10,15,35,0]],1308.9546453675719,10.602687120437622
47803.6882228944,[[0,31,8,22,3,53,13,0],[0,0,48,40,37,12,27,14,32,0],[0,36,45,26,17,1,10,15,29,0],[0,41,46,2,24,42,51,47,25,34,0],[0,30,18,5,23,20,49,39,50,7,28,4,0],[0,19,44,11,6,16,52,0],[0,21,33,9,38,35,43,0]],1356.2850485229142,11.495660305023193
47567.4559375886,[[0,31,48,40,8,19,37,27,0],[0,25,47,51,24,42,46,34,30,52,0],[0,21,45,26,17,10,15,43,0],[0,41,35,36,49,39,50,7,28,4,0],[0,13,22,3,53,44,0],[0,33,9,38,1,29,20,23,0],[0,18,5,11,12,2,14,32,6,16,0]],1397.2747513836619,10.271799802780151
