A-n65-k9 RA KMEANS

energy,arcs,distance,time(ms)
60226.368882953786,[[0,12,45,50,16,41,60,30,0],[0,2,37,35,36,3,4,49,0],[0,57,13,56,59,44,53,0],[0,23,48,11,54,63,7,62,0],[0,40,42,61,32,20,58,31,0],[0,38,39,51,17,47,6,64,46,0],[0,34,28,1,33,18,29,55,0],[0,10,8,52,24,19,25,21,5,0],[0,26,22,9,14,27,15,43,0]],inf,1.2115540504455566
59475.62608358355,[[0,12,41,16,50,30,60,45,0],[0,2,37,35,36,3,4,49,0],[0,57,13,56,59,44,53,0],[0,48,23,11,54,63,7,62,0],[0,31,32,40,42,61,58,20,0],[0,38,51,39,46,64,6,47,17,0],[0,34,28,1,33,18,29,55,0],[0,5,8,10,52,24,19,25,21,0],[0,22,26,9,14,27,15,43,0]],inf,1.2279996871948242
59319.80073615299,[[0,12,45,41,16,50,60,30,0],[0,2,37,35,36,3,4,49,0],[0,57,13,56,59,44,53,0],[0,23,48,11,54,63,7,62,0],[0,61,42,40,58,20,32,31,0],[0,38,39,51,17,6,64,46,47,0],[0,34,28,1,33,18,29,55,0],[0,10,8,52,24,19,25,21,5,0],[0,26,22,9,14,27,15,43,0]],inf,1.215064287185669
58624.43467003266,[[0,12,45,41,16,50,60,30,0],[0,2,37,35,36,3,4,49,0],[0,57,13,56,59,44,53,0],[0,23,48,11,54,63,7,62,0],[0,61,42,40,58,20,32,31,0],[0,38,39,51,17,47,6,64,46,0],[0,34,28,33,1,18,29,55,0],[0,5,10,8,52,24,19,25,21,0],[0,26,9,22,14,27,15,43,0]],inf,1.2130086421966553
59855.725446441415,[[0,12,41,16,50,60,30,45,0],[0,2,37,35,36,3,4,49,0],[0,57,13,44,59,56,53,0],[0,23,48,11,54,63,7,62,0],[0,42,61,40,58,20,32,31,0],[0,38,47,6,46,64,39,51,17,0],[0,34,28,33,1,18,29,55,0],[0,19,24,52,10,8,25,21,5,0],[0,26,22,9,14,27,15,43,0]],inf,1.2101099491119385
59973.041505440764,[[0,12,45,41,16,50,60,30,0],[0,2,37,35,36,3,4,49,0],[0,57,13,56,59,44,53,0],[0,48,54,11,7,63,23,62,0],[0,40,32,20,58,61,42,31,0],[0,38,39,51,17,46,64,6,47,0],[0,34,28,1,33,18,29,55,0],[0,5,10,8,52,24,19,25,21,0],[0,26,22,9,14,27,15,43,0]],inf,1.2120492458343506
57966.174509521064,[[0,12,45,41,16,50,60,30,0],[0,2,37,35,36,3,4,49,0],[0,57,13,56,59,44,53,0],[0,48,23,63,54,11,7,62,0],[0,40,61,42,58,20,32,31,0],[0,38,39,51,64,46,6,47,17,0],[0,34,28,1,33,18,29,55,0],[0,5,10,8,52,24,19,25,21,0],[0,26,22,9,14,27,15,43,0]],inf,1.2130098342895508
59875.78099772401,[[0,12,45,41,16,50,60,30,0],[0,2,37,35,36,3,4,49,0],[0,57,13,56,59,44,53,0],[0,48,54,11,7,63,23,62,0],[0,40,32,20,58,61,42,31,0],[0,38,39,51,17,47,6,64,46,0],[0,34,28,1,33,18,29,55,0],[0,5,10,8,52,24,19,25,21,0],[0,26,9,22,14,27,15,43,0]],inf,1.2160069942474365
59154.49240824878,[[0,12,45,50,16,41,60,30,0],[0,2,37,35,36,3,4,49,0],[0,57,13,56,59,44,53,0],[0,48,23,63,54,11,7,62,0],[0,31,42,61,40,58,20,32,0],[0,38,46,64,6,47,17,51,39,0],[0,34,28,33,1,18,29,55,0],[0,5,8,10,52,24,19,25,21,0],[0,26,22,9,14,27,15,43,0]],inf,1.2090332508087158
61080.076511929314,[[0,12,16,41,50,60,30,45,0],[0,2,37,35,36,3,4,49,0],[0,57,13,56,59,44,53,0],[0,48,23,63,54,11,7,62,0],[0,40,32,20,58,61,42,31,0],[0,38,39,51,17,46,64,6,47,0],[0,34,28,33,1,18,29,55,0],[0,5,10,8,52,24,19,25,21,0],[0,26,9,22,14,27,15,43,0]],inf,1.2090003490447998
