CMT2 FA KMEANS

energy,arcs,distance,time(ms)
68625.9885256264,[[0,44,3,16,51,6,68,4,75,0],[0,25,55,18,50,32,40,17,0],[0,27,57,15,20,37,5,48,30,0],[0,19,59,66,65,10,58,0],[0,73,41,23,49,24,9,39,12,26,0],[0,29,13,54,35,7,8,46,67,0],[0,63,56,64,42,43,1,33,0],[0,70,60,71,36,69,61,28,62,2,0],[0,72,31,38,11,14,53,0],[0,22,74,21,47,45,52,34,0]],976.7675247661348,41.61135745048523
65659.63294948774,[[0,63,23,56,41,42,43,1,73,33,0],[0,69,37,20,70,60,71,36,47,21,74,0],[0,38,65,66,14,19,8,0],[0,46,45,48,30,4,75,0],[0,9,32,44,3,40,17,0],[0,29,5,15,57,54,13,27,52,34,0],[0,72,39,31,10,58,12,26,0],[0,55,25,50,18,24,49,16,51,6,0],[0,59,11,53,35,7,67,0],[0,61,64,22,28,62,2,68,0]],907.9612865718739,37.114601373672485
67147.62344232632,[[0,65,11,53,35,8,46,34,0],[0,72,31,39,9,44,3,51,17,0],[0,36,69,61,64,22,28,2,68,0],[0,19,38,10,58,12,40,0],[0,57,15,20,70,60,71,37,5,29,45,0],[0,54,13,52,27,30,4,75,0],[0,23,56,41,42,43,1,33,6,0],[0,16,63,73,62,74,21,47,48,0],[0,49,24,18,55,25,50,32,26,0],[0,66,59,14,7,67,0]],950.8077384961216,39.14494061470032
67832.88291678288,[[0,14,19,54,13,52,8,35,7,0],[0,55,25,50,32,9,40,0],[0,62,22,64,42,41,43,1,73,51,0],[0,69,71,60,70,20,37,5,27,45,0],[0,47,21,61,28,74,2,68,0],[0,72,39,31,65,38,10,58,12,0],[0,49,24,56,23,63,16,33,6,0],[0,18,44,3,17,46,34,67,0],[0,36,15,57,29,48,30,4,75,0],[0,59,66,11,53,26,0]],972.0721084930263,39.61109113693237
66295.46664267076,[[0,71,60,70,20,37,5,29,45,75,0],[0,19,54,13,27,52,34,4,0],[0,57,15,69,36,47,48,30,2,68,0],[0,22,64,42,41,43,1,73,33,0],[0,72,9,32,44,3,40,17,0],[0,12,74,21,61,28,62,6,0],[0,66,65,38,10,58,26,0],[0,39,55,18,24,56,23,63,16,51,0],[0,59,14,35,8,46,67,0],[0,49,50,25,31,11,53,7,0]],960.5998939214569,39.52191138267517
66922.81280061716,[[0,15,36,71,60,70,20,37,5,29,34,0],[0,16,3,32,9,39,12,26,0],[0,57,13,54,19,35,8,46,67,0],[0,64,22,28,62,2,6,0],[0,63,23,56,41,42,43,1,73,33,0],[0,74,61,69,21,47,48,30,68,0],[0,49,24,18,50,44,40,17,0],[0,72,58,10,38,65,11,53,0],[0,51,7,52,27,45,4,75,0],[0,55,25,31,66,59,14,0]],942.5138191138371,39.43066954612732
65474.668331245004,[[0,23,56,41,42,43,1,33,6,0],[0,72,38,65,66,11,53,35,0],[0,9,50,32,44,3,40,0],[0,5,15,57,13,27,52,34,67,0],[0,18,55,25,39,31,10,58,12,0],[0,69,71,60,70,20,37,36,47,29,45,0],[0,7,74,61,21,48,30,4,0],[0,24,49,63,16,51,17,26,75,0],[0,73,64,22,28,62,2,68,0],[0,54,59,14,19,8,46,0]],950.274205193187,40.00890064239502
68475.35103031505,[[0,55,25,31,10,58,72,39,9,0],[0,38,65,66,11,7,26,0],[0,23,56,49,24,18,50,32,51,0],[0,15,71,60,70,20,37,36,47,21,74,0],[0,59,14,53,8,46,34,0],[0,35,19,54,13,45,30,2,68,0],[0,57,5,48,29,27,52,67,0],[0,63,41,43,22,62,28,4,0],[0,16,3,44,40,12,17,75,0],[0,69,61,64,42,1,73,33,6,0]],968.7892588319188,38.06952118873596
67899.76833017895,[[0,24,49,23,56,41,42,43,63,16,0],[0,30,74,21,47,48,29,45,0],[0,71,60,70,20,37,5,15,57,13,27,0],[0,53,11,65,38,10,58,0],[0,64,22,62,73,1,33,6,68,0],[0,36,69,61,28,2,4,75,0],[0,72,31,39,9,32,44,3,51,0],[0,25,18,50,40,12,17,26,0],[0,54,19,35,7,46,34,67,0],[0,55,66,59,14,8,52,0]],974.0075580232372,38.680328369140625
65987.88931743262,[[0,63,23,49,24,50,32,44,3,51,0],[0,56,41,42,43,1,73,33,6,0],[0,10,31,9,40,17,0],[0,38,65,66,11,53,35,0],[0,16,68,45,27,52,46,34,0],[0,69,71,60,70,36,47,21,48,30,0],[0,74,61,64,22,28,62,2,0],[0,13,57,15,20,37,5,29,4,0],[0,54,59,14,19,8,7,75,0],[0,18,55,25,39,72,58,12,26,67,0]],948.9724012558993,40.82179403305054
