CMT2 FA KMEDOIDS

energy,arcs,distance,time(ms)
66627.66134329593,[[0,59,66,65,38,10,12,0],[0,35,19,54,13,27,52,46,34,0],[0,3,44,32,9,39,40,0],[0,8,14,11,53,7,26,0],[0,58,57,15,29,45,4,67,0],[0,36,71,60,70,20,37,5,48,30,0],[0,61,69,47,21,28,74,2,0],[0,63,42,41,43,1,73,33,51,17,0],[0,23,56,64,22,62,6,68,75,0],[0,72,31,55,25,50,18,24,49,16,0]],936.5031167542654,42.26379466056824
66497.42010735677,[[0,65,72,18,50,44,32,9,39,0],[0,16,63,23,56,41,43,1,33,0],[0,59,66,11,38,26,0],[0,70,60,71,36,47,21,74,30,6,0],[0,73,42,64,22,28,62,2,68,0],[0,61,69,20,37,5,48,29,45,0],[0,15,57,54,13,27,52,4,75,0],[0,51,49,24,3,40,12,17,0],[0,35,53,14,19,8,46,34,0],[0,55,25,31,10,58,7,67,0]],978.8616947407771,41.41622614860535
67688.80678945477,[[0,37,20,70,60,71,36,47,48,30,0],[0,51,9,39,10,58,12,26,0],[0,35,54,15,57,13,52,46,4,0],[0,69,61,28,74,2,6,68,75,0],[0,56,41,42,43,1,62,73,33,0],[0,23,63,16,49,24,3,44,40,0],[0,72,31,55,25,18,50,32,17,0],[0,64,22,21,5,29,45,27,0],[0,11,53,14,19,8,34,0],[0,59,66,65,38,7,67,0]],976.2617753853021,40.31393074989319
64617.554625456556,[[0,15,57,13,54,19,8,35,7,67,0],[0,73,1,62,28,74,2,68,75,0],[0,38,65,66,11,53,0],[0,61,21,47,48,30,4,0],[0,69,36,71,60,70,20,37,5,29,45,0],[0,59,14,27,52,46,34,0],[0,55,25,24,18,50,32,44,51,0],[0,49,23,64,42,41,43,63,33,6,0],[0,72,31,9,39,10,58,26,0],[0,22,56,16,3,40,12,17,0]],969.4867841439994,41.21643280982971
69368.62179472503,[[0,7,35,19,8,27,52,46,34,0],[0,54,57,15,60,71,36,47,48,29,45,0],[0,10,66,59,14,53,0],[0,62,41,56,23,63,16,51,17,0],[0,72,31,39,9,32,44,3,0],[0,61,21,28,74,2,68,75,0],[0,22,64,42,43,1,73,33,6,0],[0,55,25,50,18,24,49,40,12,0],[0,11,65,38,58,26,4,0],[0,13,69,70,20,37,5,30,67,0]],978.7898605366039,41.81021237373352
69310.54061122752,[[0,71,60,70,20,37,5,29,45,75,0],[0,51,63,41,42,43,1,73,33,6,0],[0,14,19,54,13,27,52,46,0],[0,23,24,49,16,3,44,39,12,26,0],[0,25,31,65,38,10,58,17,0],[0,8,35,66,11,53,7,0],[0,72,55,18,50,32,9,40,0],[0,59,57,15,48,74,30,68,4,0],[0,56,64,22,28,62,2,0],[0,36,69,61,21,47,34,67,0]],1026.6157968666753,41.52854681015015
69831.56484572201,[[0,3,55,25,50,18,24,49,16,51,0],[0,63,23,56,41,42,43,1,73,6,0],[0,60,71,36,21,62,28,74,30,0],[0,70,20,37,48,45,4,75,0],[0,10,58,7,46,67,26,0],[0,38,65,66,11,53,35,0],[0,54,59,14,19,8,52,34,0],[0,72,31,39,9,32,44,17,0],[0,29,27,13,57,15,5,47,2,68,0],[0,69,61,64,22,33,40,12,0]],991.7269698373855,40.2494170665741
67054.63570097298,[[0,35,19,54,13,27,52,46,34,0],[0,24,18,55,25,50,32,44,3,0],[0,49,73,64,56,23,63,33,6,68,0],[0,61,69,71,60,70,20,37,5,48,29,0],[0,57,15,36,47,21,74,2,75,0],[0,65,66,11,38,58,0],[0,22,42,41,43,1,51,17,12,26,0],[0,16,62,28,30,45,4,0],[0,0,72,31,10,39,9,40,0],[0,8,59,14,53,7,67,0]],964.6360485153896,40.21640181541443
66883.60481539732,[[0,72,31,39,9,40,12,17,0],[0,35,14,19,8,46,34,75,0],[0,69,60,70,20,37,36,47,48,45,0],[0,66,65,38,10,58,26,0],[0,23,56,24,49,16,63,33,68,0],[0,29,25,55,18,50,32,44,3,51,0],[0,64,42,43,1,73,62,28,74,0],[0,59,11,53,7,67,0],[0,41,22,61,21,30,2,6,0],[0,71,5,15,57,54,13,27,52,4,0]],1006.6451313474658,39.644514322280884
66448.07336533602,[[0,22,61,21,28,30,68,75,0],[0,66,59,14,53,35,8,0],[0,69,36,71,60,70,20,37,5,48,0],[0,56,23,63,16,33,6,51,17,0],[0,49,24,3,44,32,40,12,0],[0,74,47,29,52,46,34,67,0],[0,25,55,18,50,9,39,72,58,7,0],[0,19,54,13,57,15,27,45,4,0],[0,64,42,41,43,1,73,62,2,0],[0,31,10,38,65,11,26,0]],950.4744067634233,40.238648891448975
